#         T/K            d1            d2
 2.500000E+02  9.240581E+00  2.557573E+00
 2.502500E+02  9.258533E+00  2.547768E+00
 2.505000E+02  9.276576E+00  2.537915E+00
 2.507500E+02  9.294556E+00  2.528093E+00
 2.510000E+02  9.312474E+00  2.518303E+00
 2.512500E+02  9.330330E+00  2.508544E+00
 2.515000E+02  9.348122E+00  2.498817E+00
 2.517500E+02  9.365852E+00  2.489122E+00
 2.520000E+02  9.383519E+00  2.479458E+00
 2.522500E+02  9.401123E+00  2.469826E+00
 2.525000E+02  9.418665E+00  2.460225E+00
 2.527500E+02  9.436143E+00  2.450656E+00
 2.530000E+02  9.453558E+00  2.441119E+00
 2.532500E+02  9.470911E+00  2.431614E+00
 2.535000E+02  9.488200E+00  2.422140E+00
 2.537500E+02  9.505426E+00  2.412698E+00
 2.540000E+02  9.522589E+00  2.403288E+00
 2.542500E+02  9.539689E+00  2.393910E+00
 2.545000E+02  9.556725E+00  2.384564E+00
 2.547500E+02  9.573699E+00  2.375250E+00
 2.550000E+02  9.590609E+00  2.365967E+00
 2.552500E+02  9.607456E+00  2.356716E+00
 2.555000E+02  9.624240E+00  2.347498E+00
 2.557500E+02  9.640961E+00  2.338311E+00
 2.560000E+02  9.657618E+00  2.329156E+00
 2.562500E+02  9.674212E+00  2.320033E+00
 2.565000E+02  9.690743E+00  2.310941E+00
 2.567500E+02  9.707211E+00  2.301882E+00
 2.570000E+02  9.723616E+00  2.292855E+00
 2.572500E+02  9.739957E+00  2.283859E+00
 2.575000E+02  9.756235E+00  2.274896E+00
 2.577500E+02  9.772451E+00  2.265964E+00
 2.580000E+02  9.788603E+00  2.257064E+00
 2.582500E+02  9.804692E+00  2.248196E+00
 2.585000E+02  9.820717E+00  2.239360E+00
 2.587500E+02  9.836680E+00  2.230556E+00
 2.590000E+02  9.852580E+00  2.221784E+00
 2.592500E+02  9.868417E+00  2.213043E+00
 2.595000E+02  9.884191E+00  2.204334E+00
 2.597500E+02  9.899902E+00  2.195657E+00
 2.600000E+02  9.915551E+00  2.187012E+00
 2.602500E+02  9.931136E+00  2.178398E+00
 2.605000E+02  9.946659E+00  2.169817E+00
 2.607500E+02  9.962120E+00  2.161266E+00
 2.610000E+02  9.977517E+00  2.152748E+00
 2.612500E+02  9.992852E+00  2.144261E+00
 2.615000E+02  1.000812E+01  2.135806E+00
 2.617500E+02  1.002334E+01  2.127382E+00
 2.620000E+02  1.003848E+01  2.118990E+00
 2.622500E+02  1.005357E+01  2.110630E+00
 2.625000E+02  1.006859E+01  2.102301E+00
 2.627500E+02  1.008355E+01  2.094003E+00
 2.630000E+02  1.009845E+01  2.085737E+00
 2.632500E+02  1.011329E+01  2.077502E+00
 2.635000E+02  1.012806E+01  2.069299E+00
 2.637500E+02  1.014278E+01  2.061127E+00
 2.640000E+02  1.015743E+01  2.052986E+00
 2.642500E+02  1.017202E+01  2.044876E+00
 2.645000E+02  1.018655E+01  2.036798E+00
 2.647500E+02  1.020101E+01  2.028751E+00
 2.650000E+02  1.021542E+01  2.020735E+00
 2.652500E+02  1.022976E+01  2.012749E+00
 2.655000E+02  1.024405E+01  2.004795E+00
 2.657500E+02  1.025827E+01  1.996872E+00
 2.660000E+02  1.027243E+01  1.988980E+00
 2.662500E+02  1.028653E+01  1.981119E+00
 2.665000E+02  1.030057E+01  1.973288E+00
 2.667500E+02  1.031455E+01  1.965488E+00
 2.670000E+02  1.032847E+01  1.957719E+00
 2.672500E+02  1.034232E+01  1.949981E+00
 2.675000E+02  1.035612E+01  1.942273E+00
 2.677500E+02  1.036986E+01  1.934596E+00
 2.680000E+02  1.038354E+01  1.926949E+00
 2.682500E+02  1.039715E+01  1.919332E+00
 2.685000E+02  1.041071E+01  1.911746E+00
 2.687500E+02  1.042421E+01  1.904191E+00
 2.690000E+02  1.043765E+01  1.896665E+00
 2.692500E+02  1.045102E+01  1.889170E+00
 2.695000E+02  1.046434E+01  1.881705E+00
 2.697500E+02  1.047760E+01  1.874270E+00
 2.700000E+02  1.049080E+01  1.866865E+00
 2.702500E+02  1.050394E+01  1.859490E+00
 2.705000E+02  1.051703E+01  1.852145E+00
 2.707500E+02  1.053005E+01  1.844829E+00
 2.710000E+02  1.054302E+01  1.837544E+00
 2.712500E+02  1.055592E+01  1.830288E+00
 2.715000E+02  1.056877E+01  1.823061E+00
 2.717500E+02  1.058156E+01  1.815865E+00
 2.720000E+02  1.059429E+01  1.808697E+00
 2.722500E+02  1.060697E+01  1.801559E+00
 2.725000E+02  1.061958E+01  1.794451E+00
 2.727500E+02  1.063214E+01  1.787372E+00
 2.730000E+02  1.064465E+01  1.780321E+00
 2.732500E+02  1.065709E+01  1.773301E+00
 2.735000E+02  1.066948E+01  1.766309E+00
 2.737500E+02  1.068181E+01  1.759346E+00
 2.740000E+02  1.069408E+01  1.752412E+00
 2.742500E+02  1.070630E+01  1.745507E+00
 2.745000E+02  1.071846E+01  1.738630E+00
 2.747500E+02  1.073056E+01  1.731782E+00
 2.750000E+02  1.074261E+01  1.724963E+00
 2.752500E+02  1.075460E+01  1.718173E+00
 2.755000E+02  1.076653E+01  1.711410E+00
 2.757500E+02  1.077841E+01  1.704677E+00
 2.760000E+02  1.079024E+01  1.697971E+00
 2.762500E+02  1.080200E+01  1.691294E+00
 2.765000E+02  1.081372E+01  1.684645E+00
 2.767500E+02  1.082537E+01  1.678024E+00
 2.770000E+02  1.083698E+01  1.671431E+00
 2.772500E+02  1.084852E+01  1.664865E+00
 2.775000E+02  1.086002E+01  1.658328E+00
