#         T/K            d1            d2
 2.500000E+02  6.436861E-01  3.563139E-01
 2.502500E+02  6.450110E-01  3.549890E-01
 2.505000E+02  6.463429E-01  3.536571E-01
 2.507500E+02  6.476707E-01  3.523293E-01
 2.510000E+02  6.489945E-01  3.510055E-01
 2.512500E+02  6.503142E-01  3.496858E-01
 2.515000E+02  6.516298E-01  3.483702E-01
 2.517500E+02  6.529413E-01  3.470587E-01
 2.520000E+02  6.542487E-01  3.457513E-01
 2.522500E+02  6.555520E-01  3.444480E-01
 2.525000E+02  6.568512E-01  3.431488E-01
 2.527500E+02  6.581463E-01  3.418537E-01
 2.530000E+02  6.594373E-01  3.405627E-01
 2.532500E+02  6.607241E-01  3.392759E-01
 2.535000E+02  6.620068E-01  3.379932E-01
 2.537500E+02  6.632854E-01  3.367146E-01
 2.540000E+02  6.645599E-01  3.354401E-01
 2.542500E+02  6.658302E-01  3.341698E-01
 2.545000E+02  6.670964E-01  3.329036E-01
 2.547500E+02  6.683585E-01  3.316415E-01
 2.550000E+02  6.696164E-01  3.303836E-01
 2.552500E+02  6.708701E-01  3.291299E-01
 2.555000E+02  6.721197E-01  3.278803E-01
 2.557500E+02  6.733651E-01  3.266349E-01
 2.560000E+02  6.746064E-01  3.253936E-01
 2.562500E+02  6.758436E-01  3.241564E-01
 2.565000E+02  6.770765E-01  3.229235E-01
 2.567500E+02  6.783053E-01  3.216947E-01
 2.570000E+02  6.795300E-01  3.204700E-01
 2.572500E+02  6.807505E-01  3.192495E-01
 2.575000E+02  6.819668E-01  3.180332E-01
 2.577500E+02  6.831790E-01  3.168210E-01
 2.580000E+02  6.843870E-01  3.156130E-01
 2.582500E+02  6.855908E-01  3.144092E-01
 2.585000E+02  6.867905E-01  3.132095E-01
 2.587500E+02  6.879860E-01  3.120140E-01
 2.590000E+02  6.891773E-01  3.108227E-01
 2.592500E+02  6.903645E-01  3.096355E-01
 2.595000E+02  6.915475E-01  3.084525E-01
 2.597500E+02  6.927264E-01  3.072736E-01
 2.600000E+02  6.939011E-01  3.060989E-01
 2.602500E+02  6.950716E-01  3.049284E-01
 2.605000E+02  6.962380E-01  3.037620E-01
 2.607500E+02  6.974002E-01  3.025998E-01
 2.610000E+02  6.985583E-01  3.014417E-01
 2.612500E+02  6.997122E-01  3.002878E-01
 2.615000E+02  7.008620E-01  2.991380E-01
 2.617500E+02  7.020076E-01  2.979924E-01
 2.620000E+02  7.031491E-01  2.968509E-01
 2.622500E+02  7.042865E-01  2.957135E-01
 2.625000E+02  7.054197E-01  2.945803E-01
 2.627500E+02  7.065488E-01  2.934512E-01
 2.630000E+02  7.076737E-01  2.923263E-01
 2.632500E+02  7.087946E-01  2.912054E-01
 2.635000E+02  7.099113E-01  2.900887E-01
 2.637500E+02  7.110239E-01  2.889761E-01
 2.640000E+02  7.121323E-01  2.878677E-01
 2.642500E+02  7.132367E-01  2.867633E-01
 2.645000E+02  7.143370E-01  2.856630E-01
 2.647500E+02  7.154331E-01  2.845669E-01
 2.650000E+02  7.165252E-01  2.834748E-01
 2.652500E+02  7.176132E-01  2.823868E-01
 2.655000E+02  7.186970E-01  2.813030E-01
 2.657500E+02  7.197768E-01  2.802232E-01
 2.660000E+02  7.208526E-01  2.791474E-01
 2.662500E+02  7.219242E-01  2.780758E-01
 2.665000E+02  7.229918E-01  2.770082E-01
 2.667500E+02  7.240554E-01  2.759446E-01
 2.670000E+02  7.251148E-01  2.748852E-01
 2.672500E+02  7.261703E-01  2.738297E-01
 2.675000E+02  7.272217E-01  2.727783E-01
 2.677500E+02  7.282690E-01  2.717310E-01
 2.680000E+02  7.293124E-01  2.706876E-01
 2.682500E+02  7.303517E-01  2.696483E-01
 2.685000E+02  7.313869E-01  2.686131E-01
 2.687500E+02  7.324182E-01  2.675818E-01
 2.690000E+02  7.334455E-01  2.665545E-01
 2.692500E+02  7.344688E-01  2.655312E-01
 2.695000E+02  7.354881E-01  2.645119E-01
 2.697500E+02  7.365034E-01  2.634966E-01
 2.700000E+02  7.375148E-01  2.624852E-01
 2.702500E+02  7.385221E-01  2.614779E-01
 2.705000E+02  7.395256E-01  2.604744E-01
 2.707500E+02  7.405250E-01  2.594750E-01
 2.710000E+02  7.415206E-01  2.584794E-01
 2.712500E+02  7.425122E-01  2.574878E-01
 2.715000E+02  7.434998E-01  2.565002E-01
 2.717500E+02  7.444836E-01  2.555164E-01
 2.720000E+02  7.454634E-01  2.545366E-01
 2.722500E+02  7.464394E-01  2.535606E-01
 2.725000E+02  7.474114E-01  2.525886E-01
 2.727500E+02  7.483796E-01  2.516204E-01
 2.730000E+02  7.493438E-01  2.506562E-01
 2.732500E+02  7.503043E-01  2.496957E-01
 2.735000E+02  7.512608E-01  2.487392E-01
 2.737500E+02  7.522135E-01  2.477865E-01
 2.740000E+02  7.531624E-01  2.468376E-01
 2.742500E+02  7.541074E-01  2.458926E-01
 2.745000E+02  7.550486E-01  2.449514E-01
 2.747500E+02  7.559860E-01  2.440140E-01
 2.750000E+02  7.569196E-01  2.430804E-01
 2.752500E+02  7.578494E-01  2.421506E-01
 2.755000E+02  7.587754E-01  2.412246E-01
 2.757500E+02  7.596977E-01  2.403023E-01
 2.760000E+02  7.606161E-01  2.393839E-01
 2.762500E+02  7.615308E-01  2.384692E-01
 2.765000E+02  7.624418E-01  2.375582E-01
 2.767500E+02  7.633490E-01  2.366510E-01
 2.770000E+02  7.642525E-01  2.357475E-01
 2.772500E+02  7.651523E-01  2.348477E-01
 2.775000E+02  7.660484E-01  2.339516E-01
 2.777500E+02  7.669407E-01  2.330593E-01
 2.780000E+02  7.678294E-01  2.321706E-01
 2.782500E+02  7.687144E-01  2.312856E-01
 2.785000E+02  7.695958E-01  2.304042E-01
 2.787500E+02  7.704735E-01  2.295265E-01
 2.790000E+02  7.713475E-01  2.286525E-01
 2.792500E+02  7.722179E-01  2.277821E-01
 2.795000E+02  7.730847E-01  2.269153E-01
 2.797500E+02  7.739478E-01  2.260522E-01
 2.800000E+02  7.748074E-01  2.251926E-01
 2.802500E+02  7.756633E-01  2.243367E-01
 2.805000E+02  7.765157E-01  2.234843E-01
 2.807500E+02  7.773645E-01  2.226355E-01
 2.810000E+02  7.782098E-01  2.217902E-01
 2.812500E+02  7.790515E-01  2.209485E-01
 2.815000E+02  7.798896E-01  2.201104E-01
 2.817500E+02  7.807242E-01  2.192758E-01
 2.820000E+02  7.815553E-01  2.184447E-01
 2.822500E+02  7.823829E-01  2.176171E-01
 2.825000E+02  7.832070E-01  2.167930E-01
 2.827500E+02  7.840276E-01  2.159724E-01
 2.830000E+02  7.848448E-01  2.151552E-01
 2.832500E+02  7.856584E-01  2.143416E-01
 2.835000E+02  7.864687E-01  2.135313E-01
 2.837500E+02  7.872754E-01  2.127246E-01
 2.840000E+02  7.880788E-01  2.119212E-01
 2.842500E+02  7.888787E-01  2.111213E-01
 2.845000E+02  7.896752E-01  2.103248E-01
 2.847500E+02  7.904684E-01  2.095316E-01
 2.850000E+02  7.912581E-01  2.087419E-01
 2.852500E+02  7.920445E-01  2.079555E-01
 2.855000E+02  7.928275E-01  2.071725E-01
 2.857500E+02  7.936071E-01  2.063929E-01
 2.860000E+02  7.943835E-01  2.056165E-01
 2.862500E+02  7.951564E-01  2.048436E-01
 2.865000E+02  7.959261E-01  2.040739E-01
 2.867500E+02  7.966925E-01  2.033075E-01
 2.870000E+02  7.974555E-01  2.025445E-01
 2.872500E+02  7.982153E-01  2.017847E-01
 2.875000E+02  7.989718E-01  2.010282E-01
 2.877500E+02  7.997251E-01  2.002749E-01
 2.880000E+02  8.004751E-01  1.995249E-01
 2.882500E+02  8.012219E-01  1.987781E-01
 2.885000E+02  8.019654E-01  1.980346E-01
 2.887500E+02  8.027058E-01  1.972942E-01
 2.890000E+02  8.034429E-01  1.965571E-01
 2.892500E+02  8.041768E-01  1.958232E-01
 2.895000E+02  8.049076E-01  1.950924E-01
 2.897500E+02  8.056352E-01  1.943648E-01
 2.900000E+02  8.063596E-01  1.936404E-01
