#         T/K            w1            w2            w3            w5            d1            d2          d1w1         d1w2A         d1w2B          d1w3          d1w4          d2w1          d2w2
 2.500000E+02  6.590469E-04  4.324036E-05  7.743814E-06  4.993949E-02  2.095488E-01  8.228573E-02  1.952994E-01  1.828699E-03  4.076596E-02  5.272435E-02  3.504460E-02  3.312064E-01  6.465049E-04
 2.502500E+02  6.671206E-04  4.401488E-05  7.851916E-06  5.003996E-02  2.102095E-01  8.215193E-02  1.958230E-01  1.844050E-03  4.086481E-02  5.275425E-02  3.496995E-02  3.299788E-01  6.447720E-04
 2.505000E+02  6.753381E-04  4.480518E-05  7.961808E-06  5.014216E-02  2.108777E-01  8.201546E-02  1.963507E-01  1.859510E-03  4.096393E-02  5.278367E-02  3.489484E-02  3.287409E-01  6.430046E-04
 2.507500E+02  6.836400E-04  4.560805E-05  8.073003E-06  5.024422E-02  2.115453E-01  8.187847E-02  1.968774E-01  1.875057E-03  4.106281E-02  5.281266E-02  3.481977E-02  3.275058E-01  6.412369E-04
 2.510000E+02  6.920270E-04  4.642365E-05  8.185514E-06  5.034614E-02  2.122122E-01  8.174095E-02  1.974031E-01  1.890691E-03  4.116144E-02  5.284122E-02  3.474474E-02  3.262734E-01  6.394690E-04
 2.512500E+02  7.004996E-04  4.725218E-05  8.299352E-06  5.044792E-02  2.128784E-01  8.160293E-02  1.979278E-01  1.906411E-03  4.125982E-02  5.286936E-02  3.466977E-02  3.250438E-01  6.377011E-04
 2.515000E+02  7.090586E-04  4.809379E-05  8.414531E-06  5.054955E-02  2.135438E-01  8.146440E-02  1.984515E-01  1.922219E-03  4.135795E-02  5.289707E-02  3.459485E-02  3.238171E-01  6.359330E-04
 2.517500E+02  7.177047E-04  4.894867E-05  8.531062E-06  5.065103E-02  2.142086E-01  8.132537E-02  1.989742E-01  1.938114E-03  4.145582E-02  5.292435E-02  3.451997E-02  3.225932E-01  6.341649E-04
 2.520000E+02  7.264384E-04  4.981699E-05  8.648958E-06  5.075237E-02  2.148726E-01  8.118586E-02  1.994959E-01  1.954097E-03  4.155345E-02  5.295122E-02  3.444515E-02  3.213721E-01  6.323968E-04
 2.522500E+02  7.352605E-04  5.069894E-05  8.768231E-06  5.085356E-02  2.155358E-01  8.104585E-02  2.000165E-01  1.970167E-03  4.165081E-02  5.297765E-02  3.437037E-02  3.201539E-01  6.306288E-04
