#         T/K            w1            w2            w3            w5            d1            d2          d1w1         d1w2A         d1w2B          d1w3          d1w4          d2w1          d2w2
 2.500000E+02  1.543343E-02  7.084803E-04  1.183653E-04  8.968294E-01  3.065901E+00  5.262799E-01  1.999246E+00  1.746380E-02  3.893087E-01  5.284348E-01  3.932002E-01  1.976160E+00  4.048357E-03
 2.502500E+02  1.561637E-02  7.207406E-04  1.199216E-04  8.975478E-01  3.075792E+00  5.256000E-01  2.004344E+00  1.760450E-02  3.901220E-01  5.284494E-01  3.920710E-01  1.969092E+00  4.037209E-03
 2.505000E+02  1.580195E-02  7.332200E-04  1.214991E-04  8.982740E-01  3.085755E+00  5.249092E-01  2.009462E+00  1.774602E-02  3.909347E-01  5.284574E-01  3.909382E-01  1.961993E+00  4.025925E-03
 2.507500E+02  1.598937E-02  7.458906E-04  1.230941E-04  8.989987E-01  3.095708E+00  5.242141E-01  2.014569E+00  1.788831E-02  3.917450E-01  5.284621E-01  3.898086E-01  1.954909E+00  4.014644E-03
 2.510000E+02  1.617864E-02  7.587549E-04  1.247068E-04  8.997219E-01  3.105652E+00  5.235148E-01  2.019667E+00  1.803135E-02  3.925530E-01  5.284637E-01  3.886823E-01  1.947839E+00  4.003367E-03
 2.512500E+02  1.636976E-02  7.718155E-04  1.263374E-04  9.004437E-01  3.115586E+00  5.228112E-01  2.024754E+00  1.817515E-02  3.933586E-01  5.284622E-01  3.875592E-01  1.940783E+00  3.992094E-03
 2.515000E+02  1.656276E-02  7.850749E-04  1.279859E-04  9.011640E-01  3.125510E+00  5.221035E-01  2.029831E+00  1.831971E-02  3.941619E-01  5.284574E-01  3.864393E-01  1.933743E+00  3.980825E-03
 2.517500E+02  1.675765E-02  7.985356E-04  1.296526E-04  9.018829E-01  3.135425E+00  5.213916E-01  2.034897E+00  1.846503E-02  3.949627E-01  5.284496E-01  3.853226E-01  1.926717E+00  3.969560E-03
 2.520000E+02  1.695444E-02  8.122004E-04  1.313377E-04  9.026002E-01  3.145329E+00  5.206756E-01  2.039953E+00  1.861111E-02  3.957612E-01  5.284385E-01  3.842091E-01  1.919707E+00  3.958301E-03
 2.522500E+02  1.715314E-02  8.260719E-04  1.330412E-04  9.033161E-01  3.155224E+00  5.199555E-01  2.044998E+00  1.875795E-02  3.965573E-01  5.284244E-01  3.830989E-01  1.912712E+00  3.947046E-03
 2.525000E+02  1.735378E-02  8.401528E-04  1.347634E-04  9.040305E-01  3.165107E+00  5.192315E-01  2.050033E+00  1.890556E-02  3.973509E-01  5.284072E-01  3.819918E-01  1.905731E+00  3.935797E-03
 2.527500E+02  1.755636E-02  8.544457E-04  1.365043E-04  9.047433E-01  3.174981E+00  5.185034E-01  2.055056E+00  1.905393E-02  3.981422E-01  5.283868E-01  3.808879E-01  1.898766E+00  3.924554E-03
 2.530000E+02  1.776089E-02  8.689534E-04  1.382642E-04  9.054547E-01  3.184843E+00  5.177714E-01  2.060069E+00  1.920306E-02  3.989310E-01  5.283634E-01  3.797871E-01  1.891817E+00  3.913316E-03
 2.532500E+02  1.796741E-02  8.836787E-04  1.400433E-04  9.061646E-01  3.194695E+00  5.170356E-01  2.065071E+00  1.935296E-02  3.997174E-01  5.283368E-01  3.786895E-01  1.884882E+00  3.902085E-03
 2.535000E+02  1.817590E-02  8.986244E-04  1.418416E-04  9.068730E-01  3.204535E+00  5.162958E-01  2.070063E+00  1.950363E-02  4.005013E-01  5.283073E-01  3.775951E-01  1.877964E+00  3.890860E-03
 2.537500E+02  1.838641E-02  9.137933E-04  1.436595E-04  9.075799E-01  3.214364E+00  5.155523E-01  2.075043E+00  1.965507E-02  4.012828E-01  5.282746E-01  3.765039E-01  1.871060E+00  3.879642E-03
 2.540000E+02  1.859892E-02  9.291883E-04  1.454969E-04  9.082853E-01  3.224182E+00  5.148049E-01  2.080012E+00  1.980728E-02  4.020619E-01  5.282389E-01  3.754158E-01  1.864173E+00  3.868431E-03
 2.542500E+02  1.881347E-02  9.448122E-04  1.473541E-04  9.089892E-01  3.233988E+00  5.140539E-01  2.084970E+00  1.996025E-02  4.028385E-01  5.282002E-01  3.743308E-01  1.857301E+00  3.857227E-03
 2.545000E+02  1.903007E-02  9.606679E-04  1.492313E-04  9.096915E-01  3.243783E+00  5.132992E-01  2.089916E+00  2.011400E-02  4.036126E-01  5.281585E-01  3.732489E-01  1.850445E+00  3.846031E-03
 2.547500E+02  1.924873E-02  9.767585E-04  1.511286E-04  9.103923E-01  3.253565E+00  5.125408E-01  2.094852E+00  2.026852E-02  4.043843E-01  5.281137E-01  3.721702E-01  1.843604E+00  3.834842E-03
 2.550000E+02  1.946946E-02  9.930868E-04  1.530462E-04  9.110916E-01  3.263336E+00  5.117788E-01  2.099776E+00  2.042381E-02  4.051535E-01  5.280660E-01  3.710946E-01  1.836780E+00  3.823662E-03
 2.552500E+02  1.969229E-02  1.009656E-03  1.549843E-04  9.117894E-01  3.273094E+00  5.110132E-01  2.104689E+00  2.057988E-02  4.059201E-01  5.280152E-01  3.700221E-01  1.829971E+00  3.812490E-03
 2.555000E+02  1.991722E-02  1.026469E-03  1.569430E-04  9.124857E-01  3.282840E+00  5.102441E-01  2.109590E+00  2.073672E-02  4.066843E-01  5.279615E-01  3.689527E-01  1.823179E+00  3.801327E-03
