#         T/K          A/kJ          G/kJ
 2.500000E+02  4.153469E+01  4.153827E+01
 2.502500E+02  4.150466E+01  4.150824E+01
 2.505000E+02  4.147461E+01  4.147820E+01
 2.507500E+02  4.144455E+01  4.144813E+01
 2.510000E+02  4.141446E+01  4.141805E+01
 2.512500E+02  4.138437E+01  4.138795E+01
 2.515000E+02  4.135425E+01  4.135784E+01
 2.517500E+02  4.132412E+01  4.132770E+01
 2.520000E+02  4.129397E+01  4.129755E+01
 2.522500E+02  4.126380E+01  4.126738E+01
 2.525000E+02  4.123361E+01  4.123720E+01
 2.527500E+02  4.120341E+01  4.120700E+01
 2.530000E+02  4.117319E+01  4.117678E+01
 2.532500E+02  4.114295E+01  4.114654E+01
 2.535000E+02  4.111270E+01  4.111628E+01
 2.537500E+02  4.108242E+01  4.108601E+01
 2.540000E+02  4.105213E+01  4.105572E+01
 2.542500E+02  4.102183E+01  4.102542E+01
 2.545000E+02  4.099150E+01  4.099509E+01
 2.547500E+02  4.096116E+01  4.096475E+01
 2.550000E+02  4.093080E+01  4.093439E+01
 2.552500E+02  4.090043E+01  4.090402E+01
 2.555000E+02  4.087004E+01  4.087362E+01
 2.557500E+02  4.083963E+01  4.084322E+01
 2.560000E+02  4.080920E+01  4.081279E+01
 2.562500E+02  4.077876E+01  4.078234E+01
 2.565000E+02  4.074829E+01  4.075188E+01
 2.567500E+02  4.071782E+01  4.072141E+01
 2.570000E+02  4.068732E+01  4.069091E+01
 2.572500E+02  4.065681E+01  4.066040E+01
 2.575000E+02  4.062628E+01  4.062987E+01
 2.577500E+02  4.059573E+01  4.059932E+01
 2.580000E+02  4.056517E+01  4.056876E+01
 2.582500E+02  4.053459E+01  4.053818E+01
 2.585000E+02  4.050399E+01  4.050758E+01
 2.587500E+02  4.047338E+01  4.047697E+01
 2.590000E+02  4.044275E+01  4.044634E+01
 2.592500E+02  4.041210E+01  4.041569E+01
 2.595000E+02  4.038143E+01  4.038503E+01
 2.597500E+02  4.035075E+01  4.035434E+01
 2.600000E+02  4.032005E+01  4.032364E+01
 2.602500E+02  4.028934E+01  4.029293E+01
 2.605000E+02  4.025860E+01  4.026220E+01
 2.607500E+02  4.022785E+01  4.023145E+01
 2.610000E+02  4.019709E+01  4.020068E+01
 2.612500E+02  4.016631E+01  4.016990E+01
