#         T/K        V/dm^3  V(excl)/dm^3    alpha/K^-1        status
 2.500000E+02  3.538338E-02  3.443870E-02  1.955071E-04                                 112
 2.502500E+02  3.538511E-02  3.443870E-02  1.957240E-04                                 112
 2.505000E+02  3.538684E-02  3.443870E-02  1.960007E-04                                 112
 2.507500E+02  3.538857E-02  3.443870E-02  1.961104E-04                                 112
 2.510000E+02  3.539031E-02  3.443870E-02  1.962188E-04                                 112
 2.512500E+02  3.539205E-02  3.443870E-02  1.963261E-04                                 112
 2.515000E+02  3.539378E-02  3.443870E-02  1.964322E-04                                 112
 2.517500E+02  3.539552E-02  3.443870E-02  1.965373E-04                                 112
 2.520000E+02  3.539726E-02  3.443870E-02  1.966412E-04                                 112
 2.522500E+02  3.539900E-02  3.443870E-02  1.967440E-04                                 112
 2.525000E+02  3.540074E-02  3.443870E-02  1.968457E-04                                 112
 2.527500E+02  3.540249E-02  3.443870E-02  1.969463E-04                                 112
 2.530000E+02  3.540423E-02  3.443870E-02  1.970458E-04                                 112
 2.532500E+02  3.540597E-02  3.443870E-02  1.971442E-04                                 112
 2.535000E+02  3.540772E-02  3.443870E-02  1.972416E-04                                 112
 2.537500E+02  3.540947E-02  3.443870E-02  1.973378E-04                                 112
 2.540000E+02  3.541121E-02  3.443870E-02  1.974330E-04                                 112
 2.542500E+02  3.541296E-02  3.443870E-02  1.975271E-04                                 112
 2.545000E+02  3.541471E-02  3.443870E-02  1.976202E-04                                 112
 2.547500E+02  3.541646E-02  3.443870E-02  1.977122E-04                                 112
 2.550000E+02  3.541821E-02  3.443870E-02  1.978031E-04                                 112
 2.552500E+02  3.541996E-02  3.443870E-02  1.978930E-04                                 112
 2.555000E+02  3.542172E-02  3.443870E-02  1.979819E-04                                 112
 2.557500E+02  3.542347E-02  3.443870E-02  1.980698E-04                                 112
 2.560000E+02  3.542522E-02  3.443870E-02  1.981566E-04                                 112
 2.562500E+02  3.542698E-02  3.443870E-02  1.982424E-04                                 112
 2.565000E+02  3.542874E-02  3.443870E-02  1.983271E-04                                 112
 2.567500E+02  3.543049E-02  3.443870E-02  1.984109E-04                                 112
 2.570000E+02  3.543225E-02  3.443870E-02  1.984937E-04                                 112
 2.572500E+02  3.543401E-02  3.443870E-02  1.985755E-04                                 112
 2.575000E+02  3.543577E-02  3.443870E-02  1.986563E-04                                 112
 2.577500E+02  3.543753E-02  3.443870E-02  1.987361E-04                                 112
 2.580000E+02  3.543929E-02  3.443870E-02  1.988149E-04                                 112
 2.582500E+02  3.544105E-02  3.443870E-02  1.988928E-04                                 112
 2.585000E+02  3.544282E-02  3.443870E-02  1.989697E-04                                 112
 2.587500E+02  3.544458E-02  3.443870E-02  1.990457E-04                                 112
 2.590000E+02  3.544634E-02  3.443870E-02  1.991207E-04                                 112
 2.592500E+02  3.544811E-02  3.443870E-02  1.991948E-04                                 112
 2.595000E+02  3.544987E-02  3.443870E-02  1.992680E-04                                 112
 2.597500E+02  3.545164E-02  3.443870E-02  1.993402E-04                                 112
 2.600000E+02  3.545341E-02  3.443870E-02  1.994115E-04                                 112
 2.602500E+02  3.545517E-02  3.443870E-02  1.994819E-04                                 112
 2.605000E+02  3.545694E-02  3.443870E-02  1.995515E-04                                 112
 2.607500E+02  3.545871E-02  3.443870E-02  1.996201E-04                                 112
 2.610000E+02  3.546048E-02  3.443870E-02  1.996878E-04                                 112
 2.612500E+02  3.546225E-02  3.443870E-02  1.997547E-04                                 112
 2.615000E+02  3.546402E-02  3.443870E-02  1.998207E-04                                 112
 2.617500E+02  3.546580E-02  3.443870E-02  1.998858E-04                                 112
 2.620000E+02  3.546757E-02  3.443870E-02  1.999501E-04                                 112
 2.622500E+02  3.546934E-02  3.443870E-02  2.000135E-04                                 112
 2.625000E+02  3.547112E-02  3.443870E-02  2.000761E-04                                 112
 2.627500E+02  3.547289E-02  3.443870E-02  2.001379E-04                                 112
 2.630000E+02  3.547467E-02  3.443870E-02  2.001988E-04                                 112
 2.632500E+02  3.547644E-02  3.443870E-02  2.002590E-04                                 112
 2.635000E+02  3.547822E-02  3.443870E-02  2.003183E-04                                 112
 2.637500E+02  3.547999E-02  3.443870E-02  2.003768E-04                                 112
 2.640000E+02  3.548177E-02  3.443870E-02  2.004346E-04                                 112
 2.642500E+02  3.548355E-02  3.443870E-02  2.004916E-04                                 112
 2.645000E+02  3.548533E-02  3.443870E-02  2.005478E-04                                 112
 2.647500E+02  3.548711E-02  3.443870E-02  2.006032E-04                                 112
 2.650000E+02  3.548889E-02  3.443870E-02  2.006579E-04                                 112
 2.652500E+02  3.549067E-02  3.443870E-02  2.007118E-04                                 112
 2.655000E+02  3.549245E-02  3.443870E-02  2.007650E-04                                 112
 2.657500E+02  3.549423E-02  3.443870E-02  2.008175E-04                                 112
 2.660000E+02  3.549601E-02  3.443870E-02  2.008693E-04                                 112
 2.662500E+02  3.549780E-02  3.443870E-02  2.009203E-04                                 112
 2.665000E+02  3.549958E-02  3.443870E-02  2.009707E-04                                 112
 2.667500E+02  3.550136E-02  3.443870E-02  2.010203E-04                                 112
 2.670000E+02  3.550315E-02  3.443870E-02  2.010693E-04                                 112
 2.672500E+02  3.550493E-02  3.443870E-02  2.011176E-04                                 112
 2.675000E+02  3.550672E-02  3.443870E-02  2.011652E-04                                 112
 2.677500E+02  3.550851E-02  3.443870E-02  2.012122E-04                                 112
 2.680000E+02  3.551029E-02  3.443870E-02  2.012585E-04                                 112
 2.682500E+02  3.551208E-02  3.443870E-02  2.013042E-04                                 112
 2.685000E+02  3.551387E-02  3.443870E-02  2.013493E-04                                 112
 2.687500E+02  3.551565E-02  3.443870E-02  2.013937E-04                                 112
 2.690000E+02  3.551744E-02  3.443870E-02  2.014375E-04                                 112
 2.692500E+02  3.551923E-02  3.443870E-02  2.014807E-04                                 112
 2.695000E+02  3.552102E-02  3.443870E-02  2.015234E-04                                 112
 2.697500E+02  3.552281E-02  3.443870E-02  2.015654E-04                                 112
 2.700000E+02  3.552460E-02  3.443870E-02  2.016069E-04                                 112
 2.702500E+02  3.552639E-02  3.443870E-02  2.016478E-04                                 112
 2.705000E+02  3.552818E-02  3.443870E-02  2.016882E-04                                 112
 2.707500E+02  3.552997E-02  3.443870E-02  2.017280E-04                                 112
 2.710000E+02  3.553177E-02  3.443870E-02  2.017673E-04                                 112
 2.712500E+02  3.553356E-02  3.443870E-02  2.018060E-04                                 112
 2.715000E+02  3.553535E-02  3.443870E-02  2.018442E-04                                 112
 2.717500E+02  3.553715E-02  3.443870E-02  2.018820E-04                                 112
 2.720000E+02  3.553894E-02  3.443870E-02  2.019192E-04                                 112
 2.722500E+02  3.554073E-02  3.443870E-02  2.019559E-04                                 112
 2.725000E+02  3.554253E-02  3.443870E-02  2.019922E-04                                 112
 2.727500E+02  3.554432E-02  3.443870E-02  2.020279E-04                                 112
 2.730000E+02  3.554612E-02  3.443870E-02  2.020633E-04                                 112
 2.732500E+02  3.554791E-02  3.443870E-02  2.020981E-04                                 112
 2.735000E+02  3.554971E-02  3.443870E-02  2.021326E-04                                 112
 2.737500E+02  3.555151E-02  3.443870E-02  2.021666E-04                                 112
 2.740000E+02  3.555330E-02  3.443870E-02  2.022001E-04                                 112
 2.742500E+02  3.555510E-02  3.443870E-02  2.022333E-04                                 112
 2.745000E+02  3.555690E-02  3.443870E-02  2.022661E-04                                 112
 2.747500E+02  3.555870E-02  3.443870E-02  2.022984E-04                                 112
 2.750000E+02  3.556050E-02  3.443870E-02  2.023304E-04                                 112
 2.752500E+02  3.556229E-02  3.443870E-02  2.023620E-04                                 112
 2.755000E+02  3.556409E-02  3.443870E-02  2.023933E-04                                 112
 2.757500E+02  3.556589E-02  3.443870E-02  2.024241E-04                                 112
 2.760000E+02  3.556769E-02  3.443870E-02  2.024547E-04                                 112
 2.762500E+02  3.556949E-02  3.443870E-02  2.024849E-04                                 112
 2.765000E+02  3.557130E-02  3.443870E-02  2.025148E-04                                 112
 2.767500E+02  3.557310E-02  3.443870E-02  2.025443E-04                                 112
 2.770000E+02  3.557490E-02  3.443870E-02  2.025736E-04                                 112
 2.772500E+02  3.557670E-02  3.443870E-02  2.026026E-04                                 112
 2.775000E+02  3.557850E-02  3.443870E-02  2.026313E-04                                 112
 2.777500E+02  3.558030E-02  3.443870E-02  2.026597E-04                                 112
 2.780000E+02  3.558211E-02  3.443870E-02  2.026878E-04                                 112
 2.782500E+02  3.558391E-02  3.443870E-02  2.027157E-04                                 112
 2.785000E+02  3.558571E-02  3.443870E-02  2.027433E-04                                 112
 2.787500E+02  3.558752E-02  3.443870E-02  2.027707E-04                                 112
 2.790000E+02  3.558932E-02  3.443870E-02  2.027978E-04                                 112
 2.792500E+02  3.559113E-02  3.443870E-02  2.028248E-04                                 112
 2.795000E+02  3.559293E-02  3.443870E-02  2.028515E-04                                 112
 2.797500E+02  3.559474E-02  3.443870E-02  2.028781E-04                                 112
 2.800000E+02  3.559654E-02  3.443870E-02  2.029044E-04                                 112
 2.802500E+02  3.559835E-02  3.443870E-02  2.029306E-04                                 112
 2.805000E+02  3.560015E-02  3.443870E-02  2.029566E-04                                 112
 2.807500E+02  3.560196E-02  3.443870E-02  2.029824E-04                                 112
 2.810000E+02  3.560377E-02  3.443870E-02  2.030081E-04                                 112
 2.812500E+02  3.560557E-02  3.443870E-02  2.030337E-04                                 112
 2.815000E+02  3.560738E-02  3.443870E-02  2.030591E-04                                 112
 2.817500E+02  3.560919E-02  3.443870E-02  2.030844E-04                                 112
 2.820000E+02  3.561100E-02  3.443870E-02  2.031096E-04                                 112
 2.822500E+02  3.561281E-02  3.443870E-02  2.031346E-04                                 112
 2.825000E+02  3.561461E-02  3.443870E-02  2.031596E-04                                 112
 2.827500E+02  3.561642E-02  3.443870E-02  2.031845E-04                                 112
 2.830000E+02  3.561823E-02  3.443870E-02  2.032094E-04                                 112
 2.832500E+02  3.562004E-02  3.443870E-02  2.032341E-04                                 112
 2.835000E+02  3.562185E-02  3.443870E-02  2.032589E-04                                 112
 2.837500E+02  3.562366E-02  3.443870E-02  2.032835E-04                                 112
 2.840000E+02  3.562547E-02  3.443870E-02  2.033082E-04                                 112
 2.842500E+02  3.562728E-02  3.443870E-02  2.033328E-04                                 112
 2.845000E+02  3.562910E-02  3.443870E-02  2.033574E-04                                 112
 2.847500E+02  3.563091E-02  3.443870E-02  2.033820E-04                                 112
 2.850000E+02  3.563272E-02  3.443870E-02  2.034066E-04                                 112
 2.852500E+02  3.563453E-02  3.443870E-02  2.034312E-04                                 112
 2.855000E+02  3.563634E-02  3.443870E-02  2.034558E-04                                 112
 2.857500E+02  3.563816E-02  3.443870E-02  2.034805E-04                                 112
 2.860000E+02  3.563997E-02  3.443870E-02  2.035052E-04                                 112
 2.862500E+02  3.564178E-02  3.443870E-02  2.035300E-04                                 112
 2.865000E+02  3.564360E-02  3.443870E-02  2.035548E-04                                 112
 2.867500E+02  3.564541E-02  3.443870E-02  2.035797E-04                                 112
 2.870000E+02  3.564722E-02  3.443870E-02  2.036047E-04                                 112
 2.872500E+02  3.564904E-02  3.443870E-02  2.036297E-04                                 112
 2.875000E+02  3.565085E-02  3.443870E-02  2.036549E-04                                 112
 2.877500E+02  3.565267E-02  3.443870E-02  2.036802E-04                                 112
 2.880000E+02  3.565449E-02  3.443870E-02  2.037056E-04                                 112
 2.882500E+02  3.565630E-02  3.443870E-02  2.037311E-04                                 112
 2.885000E+02  3.565812E-02  3.443870E-02  2.037567E-04                                 112
 2.887500E+02  3.565993E-02  3.443870E-02  2.037825E-04                                 112
 2.890000E+02  3.566175E-02  3.443870E-02  2.038085E-04                                 112
 2.892500E+02  3.566357E-02  3.443870E-02  2.038346E-04                                 112
 2.895000E+02  3.566539E-02  3.443870E-02  2.038609E-04                                 112
 2.897500E+02  3.566720E-02  3.443870E-02  2.038874E-04                                 112
 2.900000E+02  3.566902E-02  3.443870E-02  2.039140E-04                                 112
 2.902500E+02  3.567084E-02  3.443870E-02  2.039409E-04                                 112
 2.905000E+02  3.567266E-02  3.443870E-02  2.039680E-04                                 112
 2.907500E+02  3.567448E-02  3.443870E-02  2.039953E-04                                 112
 2.910000E+02  3.567630E-02  3.443870E-02  2.040228E-04                                 112
 2.912500E+02  3.567812E-02  3.443870E-02  2.040506E-04                                 112
 2.915000E+02  3.567994E-02  3.443870E-02  2.040786E-04                                 112
 2.917500E+02  3.568176E-02  3.443870E-02  2.041069E-04                                 112
 2.920000E+02  3.568358E-02  3.443870E-02  2.041354E-04                                 112
 2.922500E+02  3.568540E-02  3.443870E-02  2.041642E-04                                 112
 2.925000E+02  3.568722E-02  3.443870E-02  2.041933E-04                                 112
