#         T/K     Cv/J*K^-1     Cp/J*K^-1
 2.500000E+02  4.381768E+01  4.381820E+01
 2.502500E+02  4.383895E+01  4.383947E+01
 2.505000E+02  4.386020E+01  4.386072E+01
 2.507500E+02  4.388144E+01  4.388196E+01
 2.510000E+02  4.390267E+01  4.390319E+01
 2.512500E+02  4.392389E+01  4.392441E+01
 2.515000E+02  4.394509E+01  4.394561E+01
 2.517500E+02  4.396629E+01  4.396681E+01
 2.520000E+02  4.398747E+01  4.398799E+01
 2.522500E+02  4.400865E+01  4.400917E+01
 2.525000E+02  4.402981E+01  4.403033E+01
 2.527500E+02  4.405096E+01  4.405148E+01
 2.530000E+02  4.407210E+01  4.407262E+01
 2.532500E+02  4.409323E+01  4.409375E+01
 2.535000E+02  4.411435E+01  4.411487E+01
 2.537500E+02  4.413546E+01  4.413598E+01
 2.540000E+02  4.415656E+01  4.415708E+01
 2.542500E+02  4.417765E+01  4.417817E+01
 2.545000E+02  4.419873E+01  4.419925E+01
 2.547500E+02  4.421980E+01  4.422032E+01
 2.550000E+02  4.424085E+01  4.424138E+01
 2.552500E+02  4.426190E+01  4.426242E+01
 2.555000E+02  4.428294E+01  4.428346E+01
 2.557500E+02  4.430396E+01  4.430449E+01
 2.560000E+02  4.432498E+01  4.432550E+01
 2.562500E+02  4.434599E+01  4.434651E+01
 2.565000E+02  4.436698E+01  4.436751E+01
 2.567500E+02  4.438797E+01  4.438849E+01
 2.570000E+02  4.440895E+01  4.440947E+01
 2.572500E+02  4.442991E+01  4.443044E+01
 2.575000E+02  4.445087E+01  4.445139E+01
 2.577500E+02  4.447182E+01  4.447234E+01
 2.580000E+02  4.449275E+01  4.449328E+01
 2.582500E+02  4.451368E+01  4.451421E+01
 2.585000E+02  4.453460E+01  4.453512E+01
 2.587500E+02  4.455551E+01  4.455603E+01
 2.590000E+02  4.457641E+01  4.457693E+01
 2.592500E+02  4.459730E+01  4.459782E+01
 2.595000E+02  4.461818E+01  4.461870E+01
 2.597500E+02  4.463905E+01  4.463957E+01
 2.600000E+02  4.465991E+01  4.466043E+01
 2.602500E+02  4.468076E+01  4.468129E+01
 2.605000E+02  4.470160E+01  4.470213E+01
 2.607500E+02  4.472243E+01  4.472296E+01
 2.610000E+02  4.474326E+01  4.474378E+01
 2.612500E+02  4.476407E+01  4.476460E+01
 2.615000E+02  4.478488E+01  4.478541E+01
 2.617500E+02  4.480567E+01  4.480620E+01
 2.620000E+02  4.482646E+01  4.482699E+01
 2.622500E+02  4.484724E+01  4.484777E+01
 2.625000E+02  4.486801E+01  4.486854E+01
 2.627500E+02  4.488877E+01  4.488930E+01
 2.630000E+02  4.490952E+01  4.491005E+01
 2.632500E+02  4.493026E+01  4.493079E+01
 2.635000E+02  4.495100E+01  4.495153E+01
 2.637500E+02  4.497172E+01  4.497225E+01
 2.640000E+02  4.499244E+01  4.499297E+01
 2.642500E+02  4.501315E+01  4.501367E+01
 2.645000E+02  4.503384E+01  4.503437E+01
 2.647500E+02  4.505453E+01  4.505506E+01
 2.650000E+02  4.507522E+01  4.507574E+01
 2.652500E+02  4.509589E+01  4.509642E+01
 2.655000E+02  4.511655E+01  4.511708E+01
 2.657500E+02  4.513721E+01  4.513774E+01
 2.660000E+02  4.515786E+01  4.515838E+01
 2.662500E+02  4.517849E+01  4.517902E+01
 2.665000E+02  4.519912E+01  4.519965E+01
 2.667500E+02  4.521975E+01  4.522028E+01
 2.670000E+02  4.524036E+01  4.524089E+01
 2.672500E+02  4.526096E+01  4.526150E+01
 2.675000E+02  4.528156E+01  4.528209E+01
 2.677500E+02  4.530215E+01  4.530268E+01
 2.680000E+02  4.532273E+01  4.532326E+01
 2.682500E+02  4.534330E+01  4.534383E+01
 2.685000E+02  4.536387E+01  4.536440E+01
 2.687500E+02  4.538442E+01  4.538495E+01
 2.690000E+02  4.540497E+01  4.540550E+01
 2.692500E+02  4.542551E+01  4.542604E+01
 2.695000E+02  4.544604E+01  4.544657E+01
 2.697500E+02  4.546656E+01  4.546710E+01
 2.700000E+02  4.548708E+01  4.548761E+01
 2.702500E+02  4.550759E+01  4.550812E+01
 2.705000E+02  4.552809E+01  4.552862E+01
 2.707500E+02  4.554858E+01  4.554911E+01
 2.710000E+02  4.556906E+01  4.556959E+01
 2.712500E+02  4.558954E+01  4.559007E+01
 2.715000E+02  4.561001E+01  4.561054E+01
 2.717500E+02  4.563047E+01  4.563100E+01
 2.720000E+02  4.565092E+01  4.565145E+01
 2.722500E+02  4.567136E+01  4.567189E+01
 2.725000E+02  4.569180E+01  4.569233E+01
 2.727500E+02  4.571223E+01  4.571276E+01
 2.730000E+02  4.573265E+01  4.573318E+01
 2.732500E+02  4.575306E+01  4.575360E+01
 2.735000E+02  4.577347E+01  4.577400E+01
 2.737500E+02  4.579387E+01  4.579440E+01
 2.740000E+02  4.581426E+01  4.581479E+01
 2.742500E+02  4.583464E+01  4.583517E+01
 2.745000E+02  4.585501E+01  4.585555E+01
 2.747500E+02  4.587538E+01  4.587592E+01
 2.750000E+02  4.589574E+01  4.589628E+01
 2.752500E+02  4.591609E+01  4.591663E+01
 2.755000E+02  4.593644E+01  4.593697E+01
 2.757500E+02  4.595678E+01  4.595731E+01
 2.760000E+02  4.597711E+01  4.597764E+01
 2.762500E+02  4.599743E+01  4.599796E+01
 2.765000E+02  4.601774E+01  4.601828E+01
 2.767500E+02  4.603805E+01  4.603859E+01
 2.770000E+02  4.605835E+01  4.605889E+01
 2.772500E+02  4.607864E+01  4.607918E+01
 2.775000E+02  4.609893E+01  4.609946E+01
 2.777500E+02  4.611921E+01  4.611974E+01
 2.780000E+02  4.613948E+01  4.614001E+01
 2.782500E+02  4.615974E+01  4.616028E+01
 2.785000E+02  4.618000E+01  4.618053E+01
 2.787500E+02  4.620025E+01  4.620078E+01
 2.790000E+02  4.622049E+01  4.622102E+01
 2.792500E+02  4.624072E+01  4.624126E+01
 2.795000E+02  4.626095E+01  4.626148E+01
 2.797500E+02  4.628117E+01  4.628170E+01
 2.800000E+02  4.630138E+01  4.630191E+01
 2.802500E+02  4.632158E+01  4.632212E+01
 2.805000E+02  4.634178E+01  4.634232E+01
 2.807500E+02  4.636197E+01  4.636251E+01
 2.810000E+02  4.638215E+01  4.638269E+01
 2.812500E+02  4.640233E+01  4.640287E+01
 2.815000E+02  4.642250E+01  4.642304E+01
 2.817500E+02  4.644266E+01  4.644320E+01
 2.820000E+02  4.646281E+01  4.646335E+01
 2.822500E+02  4.648296E+01  4.648350E+01
 2.825000E+02  4.650310E+01  4.650364E+01
 2.827500E+02  4.652323E+01  4.652377E+01
 2.830000E+02  4.654336E+01  4.654390E+01
 2.832500E+02  4.656348E+01  4.656402E+01
 2.835000E+02  4.658359E+01  4.658413E+01
 2.837500E+02  4.660369E+01  4.660423E+01
 2.840000E+02  4.662379E+01  4.662433E+01
 2.842500E+02  4.664388E+01  4.664442E+01
 2.845000E+02  4.666396E+01  4.666450E+01
 2.847500E+02  4.668404E+01  4.668458E+01
 2.850000E+02  4.670411E+01  4.670464E+01
 2.852500E+02  4.672417E+01  4.672471E+01
 2.855000E+02  4.674422E+01  4.674476E+01
 2.857500E+02  4.676427E+01  4.676481E+01
 2.860000E+02  4.678431E+01  4.678485E+01
 2.862500E+02  4.680434E+01  4.680488E+01
 2.865000E+02  4.682437E+01  4.682491E+01
 2.867500E+02  4.684439E+01  4.684493E+01
 2.870000E+02  4.686440E+01  4.686494E+01
 2.872500E+02  4.688440E+01  4.688494E+01
 2.875000E+02  4.690440E+01  4.690494E+01
 2.877500E+02  4.692439E+01  4.692493E+01
