#         T/K            w1            w2            w3            w5
 2.500000E+02  1.893227E-02  1.548102E-03  4.607102E-04  1.107583E+01
 2.502500E+02  1.914068E-02  1.573580E-03  4.663797E-04  1.107553E+01
 2.505000E+02  1.935097E-02  1.599427E-03  4.721076E-04  1.107522E+01
 2.507500E+02  1.956316E-02  1.625647E-03  4.778943E-04  1.107492E+01
 2.510000E+02  1.977724E-02  1.652245E-03  4.837404E-04  1.107462E+01
 2.512500E+02  1.999324E-02  1.679226E-03  4.896462E-04  1.107432E+01
 2.515000E+02  2.021117E-02  1.706595E-03  4.956124E-04  1.107401E+01
 2.517500E+02  2.043104E-02  1.734355E-03  5.016393E-04  1.107371E+01
 2.520000E+02  2.065286E-02  1.762513E-03  5.077275E-04  1.107340E+01
 2.522500E+02  2.087666E-02  1.791072E-03  5.138774E-04  1.107310E+01
 2.525000E+02  2.110243E-02  1.820039E-03  5.200895E-04  1.107279E+01
 2.527500E+02  2.133020E-02  1.849417E-03  5.263644E-04  1.107248E+01
 2.530000E+02  2.155997E-02  1.879211E-03  5.327024E-04  1.107218E+01
 2.532500E+02  2.179177E-02  1.909427E-03  5.391043E-04  1.107187E+01
 2.535000E+02  2.202559E-02  1.940070E-03  5.455703E-04  1.107156E+01
 2.537500E+02  2.226147E-02  1.971145E-03  5.521011E-04  1.107125E+01
 2.540000E+02  2.249941E-02  2.002658E-03  5.586971E-04  1.107094E+01
 2.542500E+02  2.273942E-02  2.034612E-03  5.653588E-04  1.107063E+01
 2.545000E+02  2.298152E-02  2.067014E-03  5.720869E-04  1.107032E+01
 2.547500E+02  2.322572E-02  2.099870E-03  5.788817E-04  1.107000E+01
 2.550000E+02  2.347204E-02  2.133183E-03  5.857438E-04  1.106969E+01
 2.552500E+02  2.372048E-02  2.166961E-03  5.926737E-04  1.106938E+01
 2.555000E+02  2.397107E-02  2.201208E-03  5.996719E-04  1.106906E+01
 2.557500E+02  2.422381E-02  2.235930E-03  6.067391E-04  1.106875E+01
 2.560000E+02  2.447873E-02  2.271132E-03  6.138756E-04  1.106843E+01
 2.562500E+02  2.473583E-02  2.306821E-03  6.210821E-04  1.106811E+01
 2.565000E+02  2.499512E-02  2.343001E-03  6.283590E-04  1.106780E+01
 2.567500E+02  2.525663E-02  2.379680E-03  6.357070E-04  1.106748E+01
 2.570000E+02  2.552037E-02  2.416861E-03  6.431265E-04  1.106716E+01
 2.572500E+02  2.578634E-02  2.454553E-03  6.506180E-04  1.106684E+01
 2.575000E+02  2.605457E-02  2.492759E-03  6.581823E-04  1.106652E+01
 2.577500E+02  2.632507E-02  2.531487E-03  6.658197E-04  1.106620E+01
 2.580000E+02  2.659786E-02  2.570742E-03  6.735308E-04  1.106587E+01
 2.582500E+02  2.687294E-02  2.610531E-03  6.813163E-04  1.106555E+01
 2.585000E+02  2.715033E-02  2.650859E-03  6.891766E-04  1.106523E+01
 2.587500E+02  2.743005E-02  2.691734E-03  6.971123E-04  1.106490E+01
 2.590000E+02  2.771212E-02  2.733160E-03  7.051239E-04  1.106458E+01
 2.592500E+02  2.799653E-02  2.775145E-03  7.132121E-04  1.106425E+01
 2.595000E+02  2.828332E-02  2.817695E-03  7.213775E-04  1.106392E+01
 2.597500E+02  2.857249E-02  2.860816E-03  7.296205E-04  1.106360E+01
 2.600000E+02  2.886407E-02  2.904515E-03  7.379417E-04  1.106327E+01
 2.602500E+02  2.915805E-02  2.948799E-03  7.463418E-04  1.106294E+01
 2.605000E+02  2.945447E-02  2.993674E-03  7.548213E-04  1.106261E+01
 2.607500E+02  2.975333E-02  3.039146E-03  7.633808E-04  1.106228E+01
 2.610000E+02  3.005465E-02  3.085223E-03  7.720209E-04  1.106194E+01
 2.612500E+02  3.035845E-02  3.131911E-03  7.807422E-04  1.106161E+01
 2.615000E+02  3.066473E-02  3.179218E-03  7.895452E-04  1.106128E+01
 2.617500E+02  3.097352E-02  3.227149E-03  7.984306E-04  1.106094E+01
 2.620000E+02  3.128483E-02  3.275713E-03  8.073989E-04  1.106061E+01
 2.622500E+02  3.159868E-02  3.324916E-03  8.164508E-04  1.106027E+01
 2.625000E+02  3.191507E-02  3.374766E-03  8.255868E-04  1.105993E+01
 2.627500E+02  3.223403E-02  3.425269E-03  8.348076E-04  1.105959E+01
 2.630000E+02  3.255557E-02  3.476433E-03  8.441138E-04  1.105925E+01
 2.632500E+02  3.287971E-02  3.528265E-03  8.535060E-04  1.105891E+01
 2.635000E+02  3.320646E-02  3.580772E-03  8.629847E-04  1.105857E+01
 2.637500E+02  3.353584E-02  3.633963E-03  8.725507E-04  1.105823E+01
 2.640000E+02  3.386786E-02  3.687844E-03  8.822045E-04  1.105789E+01
 2.642500E+02  3.420254E-02  3.742423E-03  8.919468E-04  1.105754E+01
 2.645000E+02  3.453990E-02  3.797708E-03  9.017781E-04  1.105720E+01
 2.647500E+02  3.487994E-02  3.853707E-03  9.116992E-04  1.105685E+01
 2.650000E+02  3.522270E-02  3.910427E-03  9.217106E-04  1.105651E+01
 2.652500E+02  3.556817E-02  3.967876E-03  9.318130E-04  1.105616E+01
 2.655000E+02  3.591638E-02  4.026062E-03  9.420071E-04  1.105581E+01
 2.657500E+02  3.626735E-02  4.084993E-03  9.522933E-04  1.105546E+01
 2.660000E+02  3.662108E-02  4.144677E-03  9.626725E-04  1.105511E+01
 2.662500E+02  3.697761E-02  4.205123E-03  9.731453E-04  1.105476E+01
 2.665000E+02  3.733693E-02  4.266338E-03  9.837122E-04  1.105440E+01
 2.667500E+02  3.769907E-02  4.328331E-03  9.943740E-04  1.105405E+01
 2.670000E+02  3.806405E-02  4.391110E-03  1.005131E-03  1.105370E+01
 2.672500E+02  3.843188E-02  4.454683E-03  1.015985E-03  1.105334E+01
 2.675000E+02  3.880258E-02  4.519060E-03  1.026935E-03  1.105298E+01
 2.677500E+02  3.917616E-02  4.584248E-03  1.037983E-03  1.105263E+01
 2.680000E+02  3.955264E-02  4.650256E-03  1.049129E-03  1.105227E+01
 2.682500E+02  3.993204E-02  4.717094E-03  1.060374E-03  1.105191E+01
 2.685000E+02  4.031437E-02  4.784769E-03  1.071718E-03  1.105155E+01
 2.687500E+02  4.069965E-02  4.853291E-03  1.083162E-03  1.105118E+01
 2.690000E+02  4.108790E-02  4.922668E-03  1.094708E-03  1.105082E+01
 2.692500E+02  4.147913E-02  4.992909E-03  1.106355E-03  1.105046E+01
 2.695000E+02  4.187337E-02  5.064025E-03  1.118104E-03  1.105009E+01
 2.697500E+02  4.227062E-02  5.136023E-03  1.129956E-03  1.104972E+01
 2.700000E+02  4.267090E-02  5.208913E-03  1.141911E-03  1.104936E+01
 2.702500E+02  4.307424E-02  5.282705E-03  1.153971E-03  1.104899E+01
 2.705000E+02  4.348064E-02  5.357407E-03  1.166136E-03  1.104862E+01
 2.707500E+02  4.389013E-02  5.433029E-03  1.178407E-03  1.104824E+01
 2.710000E+02  4.430272E-02  5.509581E-03  1.190784E-03  1.104787E+01
 2.712500E+02  4.471844E-02  5.587073E-03  1.203268E-03  1.104750E+01
 2.715000E+02  4.513728E-02  5.665514E-03  1.215860E-03  1.104712E+01
 2.717500E+02  4.555929E-02  5.744913E-03  1.228560E-03  1.104675E+01
 2.720000E+02  4.598446E-02  5.825281E-03  1.241370E-03  1.104637E+01
 2.722500E+02  4.641282E-02  5.906628E-03  1.254290E-03  1.104599E+01
 2.725000E+02  4.684439E-02  5.988964E-03  1.267320E-03  1.104561E+01
 2.727500E+02  4.727919E-02  6.072299E-03  1.280462E-03  1.104523E+01
 2.730000E+02  4.771722E-02  6.156642E-03  1.293716E-03  1.104485E+01
