#         T/K            w1            w2            w3            w5
 2.500000E+02  3.417221E-04  5.588560E-05  2.494706E-05  9.995774E-01
 2.502500E+02  3.454915E-04  5.680659E-05  2.525462E-05  9.995724E-01
 2.505000E+02  3.492950E-04  5.774094E-05  2.556535E-05  9.995674E-01
 2.507500E+02  3.531328E-04  5.868882E-05  2.587929E-05  9.995623E-01
 2.510000E+02  3.570052E-04  5.965039E-05  2.619645E-05  9.995571E-01
 2.512500E+02  3.609123E-04  6.062582E-05  2.651686E-05  9.995519E-01
 2.515000E+02  3.648543E-04  6.161528E-05  2.684055E-05  9.995467E-01
 2.517500E+02  3.688316E-04  6.261895E-05  2.716755E-05  9.995414E-01
 2.520000E+02  3.728444E-04  6.363699E-05  2.749788E-05  9.995360E-01
 2.522500E+02  3.768929E-04  6.466959E-05  2.783157E-05  9.995306E-01
 2.525000E+02  3.809773E-04  6.571692E-05  2.816864E-05  9.995251E-01
 2.527500E+02  3.850979E-04  6.677917E-05  2.850913E-05  9.995196E-01
 2.530000E+02  3.892549E-04  6.785650E-05  2.885306E-05  9.995140E-01
 2.532500E+02  3.934486E-04  6.894911E-05  2.920045E-05  9.995084E-01
 2.535000E+02  3.976792E-04  7.005719E-05  2.955134E-05  9.995027E-01
 2.537500E+02  4.019469E-04  7.118091E-05  2.990575E-05  9.994970E-01
 2.540000E+02  4.062521E-04  7.232046E-05  3.026371E-05  9.994912E-01
 2.542500E+02  4.105949E-04  7.347605E-05  3.062525E-05  9.994853E-01
 2.545000E+02  4.149756E-04  7.464785E-05  3.099039E-05  9.994794E-01
 2.547500E+02  4.193945E-04  7.583607E-05  3.135917E-05  9.994734E-01
 2.550000E+02  4.238517E-04  7.704090E-05  3.173161E-05  9.994674E-01
 2.552500E+02  4.283476E-04  7.826253E-05  3.210774E-05  9.994613E-01
 2.555000E+02  4.328824E-04  7.950117E-05  3.248759E-05  9.994551E-01
 2.557500E+02  4.374563E-04  8.075703E-05  3.287119E-05  9.994489E-01
