#         T/K          U/kJ          H/kJ      S/J*K^-1
 2.500000E+02  1.975537E+01  1.975720E+01  6.781703E+01
 2.502500E+02  1.976355E+01  1.976538E+01  6.784973E+01
 2.505000E+02  1.977173E+01  1.977356E+01  6.788241E+01
 2.507500E+02  1.977992E+01  1.978175E+01  6.791508E+01
 2.510000E+02  1.978811E+01  1.978994E+01  6.794774E+01
 2.512500E+02  1.979631E+01  1.979814E+01  6.798038E+01
 2.515000E+02  1.980451E+01  1.980634E+01  6.801302E+01
 2.517500E+02  1.981272E+01  1.981455E+01  6.804563E+01
 2.520000E+02  1.982093E+01  1.982276E+01  6.807824E+01
 2.522500E+02  1.982915E+01  1.983098E+01  6.811083E+01
 2.525000E+02  1.983737E+01  1.983920E+01  6.814341E+01
 2.527500E+02  1.984560E+01  1.984743E+01  6.817598E+01
 2.530000E+02  1.985383E+01  1.985566E+01  6.820854E+01
 2.532500E+02  1.986207E+01  1.986390E+01  6.824108E+01
 2.535000E+02  1.987031E+01  1.987214E+01  6.827361E+01
 2.537500E+02  1.987856E+01  1.988039E+01  6.830612E+01
 2.540000E+02  1.988681E+01  1.988864E+01  6.833863E+01
 2.542500E+02  1.989507E+01  1.989690E+01  6.837112E+01
 2.545000E+02  1.990333E+01  1.990516E+01  6.840360E+01
 2.547500E+02  1.991159E+01  1.991342E+01  6.843607E+01
 2.550000E+02  1.991987E+01  1.992170E+01  6.846852E+01
 2.552500E+02  1.992814E+01  1.992997E+01  6.850096E+01
 2.555000E+02  1.993643E+01  1.993826E+01  6.853339E+01
 2.557500E+02  1.994471E+01  1.994654E+01  6.856581E+01
 2.560000E+02  1.995300E+01  1.995483E+01  6.859822E+01
 2.562500E+02  1.996130E+01  1.996313E+01  6.863061E+01
 2.565000E+02  1.996960E+01  1.997143E+01  6.866299E+01
 2.567500E+02  1.997791E+01  1.997974E+01  6.869536E+01
 2.570000E+02  1.998622E+01  1.998805E+01  6.872772E+01
 2.572500E+02  1.999454E+01  1.999637E+01  6.876007E+01
 2.575000E+02  2.000286E+01  2.000469E+01  6.879240E+01
 2.577500E+02  2.001119E+01  2.001302E+01  6.882472E+01
 2.580000E+02  2.001952E+01  2.002135E+01  6.885703E+01
 2.582500E+02  2.002786E+01  2.002969E+01  6.888933E+01
 2.585000E+02  2.003620E+01  2.003803E+01  6.892162E+01
 2.587500E+02  2.004454E+01  2.004638E+01  6.895389E+01
 2.590000E+02  2.005290E+01  2.005473E+01  6.898616E+01
 2.592500E+02  2.006125E+01  2.006308E+01  6.901841E+01
 2.595000E+02  2.006962E+01  2.007145E+01  6.905065E+01
 2.597500E+02  2.007798E+01  2.007981E+01  6.908288E+01
 2.600000E+02  2.008636E+01  2.008819E+01  6.911509E+01
 2.602500E+02  2.009473E+01  2.009656E+01  6.914730E+01
 2.605000E+02  2.010312E+01  2.010495E+01  6.917950E+01
 2.607500E+02  2.011150E+01  2.011334E+01  6.921168E+01
 2.610000E+02  2.011990E+01  2.012173E+01  6.924385E+01
 2.612500E+02  2.012830E+01  2.013013E+01  6.927601E+01
 2.615000E+02  2.013670E+01  2.013853E+01  6.930816E+01
 2.617500E+02  2.014511E+01  2.014694E+01  6.934030E+01
 2.620000E+02  2.015352E+01  2.015535E+01  6.937243E+01
 2.622500E+02  2.016194E+01  2.016377E+01  6.940455E+01
 2.625000E+02  2.017036E+01  2.017219E+01  6.943665E+01
 2.627500E+02  2.017879E+01  2.018062E+01  6.946875E+01
 2.630000E+02  2.018723E+01  2.018906E+01  6.950083E+01
 2.632500E+02  2.019566E+01  2.019750E+01  6.953290E+01
 2.635000E+02  2.020411E+01  2.020594E+01  6.956497E+01
 2.637500E+02  2.021256E+01  2.021439E+01  6.959702E+01
 2.640000E+02  2.022101E+01  2.022285E+01  6.962906E+01
 2.642500E+02  2.022947E+01  2.023131E+01  6.966109E+01
 2.645000E+02  2.023794E+01  2.023977E+01  6.969311E+01
 2.647500E+02  2.024641E+01  2.024824E+01  6.972512E+01
 2.650000E+02  2.025489E+01  2.025672E+01  6.975712E+01
 2.652500E+02  2.026337E+01  2.026520E+01  6.978911E+01
 2.655000E+02  2.027185E+01  2.027368E+01  6.982109E+01
 2.657500E+02  2.028034E+01  2.028218E+01  6.985306E+01
 2.660000E+02  2.028884E+01  2.029067E+01  6.988501E+01
 2.662500E+02  2.029734E+01  2.029917E+01  6.991696E+01
 2.665000E+02  2.030585E+01  2.030768E+01  6.994890E+01
 2.667500E+02  2.031436E+01  2.031619E+01  6.998083E+01
 2.670000E+02  2.032288E+01  2.032471E+01  7.001274E+01
 2.672500E+02  2.033140E+01  2.033324E+01  7.004465E+01
 2.675000E+02  2.033993E+01  2.034176E+01  7.007655E+01
 2.677500E+02  2.034847E+01  2.035030E+01  7.010844E+01
 2.680000E+02  2.035701E+01  2.035884E+01  7.014032E+01
 2.682500E+02  2.036555E+01  2.036738E+01  7.017218E+01
 2.685000E+02  2.037410E+01  2.037593E+01  7.020404E+01
 2.687500E+02  2.038266E+01  2.038449E+01  7.023589E+01
 2.690000E+02  2.039122E+01  2.039305E+01  7.026773E+01
 2.692500E+02  2.039978E+01  2.040161E+01  7.029956E+01
 2.695000E+02  2.040835E+01  2.041019E+01  7.033138E+01
 2.697500E+02  2.041693E+01  2.041876E+01  7.036319E+01
 2.700000E+02  2.042551E+01  2.042735E+01  7.039499E+01
 2.702500E+02  2.043410E+01  2.043593E+01  7.042678E+01
 2.705000E+02  2.044269E+01  2.044453E+01  7.045857E+01
 2.707500E+02  2.045129E+01  2.045313E+01  7.049034E+01
 2.710000E+02  2.045990E+01  2.046173E+01  7.052210E+01
 2.712500E+02  2.046851E+01  2.047034E+01  7.055386E+01
 2.715000E+02  2.047712E+01  2.047895E+01  7.058560E+01
 2.717500E+02  2.048574E+01  2.048757E+01  7.061734E+01
 2.720000E+02  2.049437E+01  2.049620E+01  7.064907E+01
