#         T/K            w1            w2            w3            w4            w5            w6            w7            w8
 2.000000E+02  4.707298E-07  3.732164E-10  4.943966E-10  9.588133E-07  3.120261E-05  5.650810E-07  1.434549E-04  1.059533E+01
 2.005000E+02  4.987875E-07  4.077211E-10  5.371485E-10  1.014213E-06  3.300580E-05  6.003003E-07  1.497669E-04  1.059499E+01
 2.010000E+02  5.283682E-07  4.452251E-10  5.833605E-10  1.072516E-06  3.490365E-05  6.375273E-07  1.563242E-04  1.059465E+01
 2.015000E+02  5.595461E-07  4.859724E-10  6.332931E-10  1.133860E-06  3.690059E-05  6.768654E-07  1.631350E-04  1.059431E+01
 2.020000E+02  5.923986E-07  5.302252E-10  6.872249E-10  1.198387E-06  3.900126E-05  7.184227E-07  1.702076E-04  1.059397E+01
 2.025000E+02  6.270066E-07  5.782654E-10  7.454537E-10  1.266243E-06  4.121047E-05  7.623124E-07  1.775508E-04  1.059363E+01
 2.030000E+02  6.634541E-07  6.303961E-10  8.082978E-10  1.337582E-06  4.353326E-05  8.086526E-07  1.851734E-04  1.059329E+01
 2.035000E+02  7.018289E-07  6.869427E-10  8.760972E-10  1.412565E-06  4.597483E-05  8.575668E-07  1.930846E-04  1.059295E+01
 2.040000E+02  7.422224E-07  7.482550E-10  9.492151E-10  1.491356E-06  4.854062E-05  9.091841E-07  2.012937E-04  1.059261E+01
 2.045000E+02  7.847298E-07  8.147081E-10  1.028039E-09  1.574129E-06  5.123627E-05  9.636393E-07  2.098104E-04  1.059226E+01
 2.050000E+02  8.294503E-07  8.867047E-10  1.112983E-09  1.661063E-06  5.406767E-05  1.021073E-06  2.186446E-04  1.059192E+01
 2.055000E+02  8.764872E-07  9.646769E-10  1.204487E-09  1.752344E-06  5.704091E-05  1.081632E-06  2.278065E-04  1.059158E+01
 2.060000E+02  9.259479E-07  1.049088E-09  1.303024E-09  1.848167E-06  6.016234E-05  1.145470E-06  2.373064E-04  1.059123E+01
