# T/K; Cv/J*K^-1
#           T           tot           vib           rot         trans          elec            mf          indi
 2.000000E+02  2.527135E+01  2.215342E+01  1.558966E+00  1.558966E+00  0.000000E+00  0.000000E+00  0.000000E+00
 2.005000E+02  2.531038E+01  2.219245E+01  1.558966E+00  1.558966E+00  0.000000E+00  0.000000E+00  0.000000E+00
 2.010000E+02  2.534934E+01  2.223140E+01  1.558967E+00  1.558967E+00  0.000000E+00  0.000000E+00  0.000000E+00
 2.015000E+02  2.538822E+01  2.227029E+01  1.558967E+00  1.558967E+00  0.000000E+00  0.000000E+00  0.000000E+00
 2.020000E+02  2.542704E+01  2.230911E+01  1.558967E+00  1.558967E+00  0.000000E+00  0.000000E+00  0.000000E+00
 2.025000E+02  2.546579E+01  2.234785E+01  1.558967E+00  1.558967E+00  0.000000E+00  0.000000E+00  0.000000E+00
 2.030000E+02  2.550447E+01  2.238653E+01  1.558968E+00  1.558968E+00  0.000000E+00  0.000000E+00  0.000000E+00
 2.035000E+02  2.554308E+01  2.242514E+01  1.558968E+00  1.558968E+00  0.000000E+00  0.000000E+00  0.000000E+00
 2.040000E+02  2.558161E+01  2.246368E+01  1.558968E+00  1.558968E+00  0.000000E+00  0.000000E+00  0.000000E+00
 2.045000E+02  2.562008E+01  2.250215E+01  1.558969E+00  1.558969E+00  0.000000E+00  0.000000E+00  0.000000E+00
 2.050000E+02  2.565849E+01  2.254055E+01  1.558969E+00  1.558969E+00  0.000000E+00  0.000000E+00  0.000000E+00
 2.055000E+02  2.569682E+01  2.257888E+01  1.558969E+00  1.558969E+00  0.000000E+00  0.000000E+00  0.000000E+00
 2.060000E+02  2.573508E+01  2.261714E+01  1.558970E+00  1.558970E+00  0.000000E+00  0.000000E+00  0.000000E+00
 2.065000E+02  2.577328E+01  2.265534E+01  1.558970E+00  1.558970E+00  0.000000E+00  0.000000E+00  0.000000E+00
 2.070000E+02  2.581141E+01  2.269347E+01  1.558970E+00  1.558970E+00  0.000000E+00  0.000000E+00  0.000000E+00
 2.075000E+02  2.584947E+01  2.273152E+01  1.558971E+00  1.558971E+00  0.000000E+00  0.000000E+00  0.000000E+00
 2.080000E+02  2.588746E+01  2.276952E+01  1.558971E+00  1.558971E+00  0.000000E+00  0.000000E+00  0.000000E+00
