# T/K; A/kJ
#           T           tot           vib           rot         trans          elec            mf          indi
 2.000000E+02  2.146176E-01  6.818022E+01 -2.375421E+00 -1.250346E+01 -4.687529E+01 -1.695277E+01  1.074133E+01
 2.005000E+02  1.928251E-01  6.817033E+01 -2.382141E+00 -1.253603E+01 -4.687529E+01 -1.695223E+01  1.076818E+01
 2.010000E+02  1.709997E-01  6.816042E+01 -2.388863E+00 -1.256861E+01 -4.687528E+01 -1.695170E+01  1.079504E+01
 2.015000E+02  1.491414E-01  6.815048E+01 -2.395586E+00 -1.260119E+01 -4.687528E+01 -1.695117E+01  1.082189E+01
 2.020000E+02  1.272503E-01  6.814050E+01 -2.402312E+00 -1.263377E+01 -4.687528E+01 -1.695063E+01  1.084874E+01
 2.025000E+02  1.053264E-01  6.813051E+01 -2.409039E+00 -1.266636E+01 -4.687527E+01 -1.695010E+01  1.087559E+01
 2.030000E+02  8.336975E-02  6.812048E+01 -2.415768E+00 -1.269895E+01 -4.687527E+01 -1.694957E+01  1.090245E+01
 2.035000E+02  6.138035E-02  6.811043E+01 -2.422500E+00 -1.273155E+01 -4.687526E+01 -1.694904E+01  1.092930E+01
 2.040000E+02  3.935826E-02  6.810034E+01 -2.429233E+00 -1.276415E+01 -4.687526E+01 -1.694850E+01  1.095615E+01
 2.045000E+02  1.730350E-02  6.809024E+01 -2.435968E+00 -1.279675E+01 -4.687525E+01 -1.694797E+01  1.098301E+01
 2.050000E+02 -4.783900E-03  6.808010E+01 -2.442705E+00 -1.282935E+01 -4.687525E+01 -1.694744E+01  1.100986E+01
 2.055000E+02 -2.690390E-02  6.806994E+01 -2.449444E+00 -1.286196E+01 -4.687524E+01 -1.694690E+01  1.103671E+01
 2.060000E+02 -4.905646E-02  6.805974E+01 -2.456186E+00 -1.289457E+01 -4.687524E+01 -1.694637E+01  1.106357E+01
 2.065000E+02 -7.124157E-02  6.804952E+01 -2.462929E+00 -1.292719E+01 -4.687523E+01 -1.694584E+01  1.109042E+01
 2.070000E+02 -9.345918E-02  6.803928E+01 -2.469673E+00 -1.295981E+01 -4.687523E+01 -1.694530E+01  1.111727E+01
 2.075000E+02 -1.157093E-01  6.802900E+01 -2.476420E+00 -1.299243E+01 -4.687522E+01 -1.694477E+01  1.114412E+01
 2.080000E+02 -1.379918E-01  6.801870E+01 -2.483169E+00 -1.302505E+01 -4.687521E+01 -1.694424E+01  1.117098E+01
 2.085000E+02 -1.603067E-01  6.800837E+01 -2.489920E+00 -1.305768E+01 -4.687521E+01 -1.694370E+01  1.119783E+01
 2.090000E+02 -1.826540E-01  6.799802E+01 -2.496672E+00 -1.309031E+01 -4.687520E+01 -1.694317E+01  1.122468E+01
 2.095000E+02 -2.050337E-01  6.798763E+01 -2.503427E+00 -1.312295E+01 -4.687519E+01 -1.694264E+01  1.125154E+01
 2.100000E+02 -2.274457E-01  6.797722E+01 -2.510183E+00 -1.315558E+01 -4.687519E+01 -1.694210E+01  1.127839E+01
 2.105000E+02 -2.498899E-01  6.796678E+01 -2.516942E+00 -1.318823E+01 -4.687518E+01 -1.694157E+01  1.130524E+01
 2.110000E+02 -2.723665E-01  6.795632E+01 -2.523702E+00 -1.322087E+01 -4.687517E+01 -1.694104E+01  1.133210E+01
 2.115000E+02 -2.948752E-01  6.794582E+01 -2.530464E+00 -1.325352E+01 -4.687516E+01 -1.694050E+01  1.135895E+01
 2.120000E+02 -3.174161E-01  6.793530E+01 -2.537228E+00 -1.328617E+01 -4.687515E+01 -1.693997E+01  1.138580E+01
 2.125000E+02 -3.399892E-01  6.792476E+01 -2.543994E+00 -1.331883E+01 -4.687514E+01 -1.693944E+01  1.141266E+01
 2.130000E+02 -3.625944E-01  6.791418E+01 -2.550762E+00 -1.335149E+01 -4.687513E+01 -1.693890E+01  1.143951E+01
 2.135000E+02 -3.852317E-01  6.790358E+01 -2.557532E+00 -1.338415E+01 -4.687512E+01 -1.693837E+01  1.146636E+01
 2.140000E+02 -4.079011E-01  6.789295E+01 -2.564304E+00 -1.341681E+01 -4.687511E+01 -1.693784E+01  1.149322E+01
 2.145000E+02 -4.306025E-01  6.788229E+01 -2.571077E+00 -1.344948E+01 -4.687510E+01 -1.693730E+01  1.152007E+01
 2.150000E+02 -4.533360E-01  6.787161E+01 -2.577853E+00 -1.348215E+01 -4.687509E+01 -1.693677E+01  1.154692E+01
 2.155000E+02 -4.761013E-01  6.786090E+01 -2.584630E+00 -1.351483E+01 -4.687508E+01 -1.693623E+01  1.157378E+01
