#         T/K            w1            w2            w3            w4            w5            w6            w7            w8
 2.000000E+02  5.553427E-09  8.806031E-12  1.749791E-11  4.524634E-08  1.840562E-06  3.999921E-08  1.184685E-05  9.999862E-01
 2.005000E+02  5.884623E-09  9.620470E-12  1.901160E-11  4.786213E-08  1.946989E-06  4.249354E-08  1.236850E-05  9.999856E-01
 2.010000E+02  6.233808E-09  1.050573E-11  2.064786E-11  5.061516E-08  2.059006E-06  4.513015E-08  1.291044E-05  9.999849E-01
 2.015000E+02  6.601859E-09  1.146759E-11  2.241591E-11  5.351185E-08  2.176876E-06  4.791637E-08  1.347335E-05  9.999842E-01
 2.020000E+02  6.989693E-09  1.251222E-11  2.432563E-11  5.655891E-08  2.300873E-06  5.085988E-08  1.405792E-05  9.999835E-01
 2.025000E+02  7.398263E-09  1.364630E-11  2.638758E-11  5.976333E-08  2.431282E-06  5.396870E-08  1.466488E-05  9.999828E-01
 2.030000E+02  7.828566E-09  1.487698E-11  2.861304E-11  6.313234E-08  2.568399E-06  5.725120E-08  1.529495E-05  9.999820E-01
 2.035000E+02  8.281638E-09  1.621196E-11  3.101406E-11  6.667352E-08  2.712534E-06  6.071615E-08  1.594890E-05  9.999812E-01
 2.040000E+02  8.758560E-09  1.765949E-11  3.360350E-11  7.039470E-08  2.864006E-06  6.437270E-08  1.662750E-05  9.999804E-01
 2.045000E+02  9.260458E-09  1.922845E-11  3.639512E-11  7.430407E-08  3.023151E-06  6.823042E-08  1.733155E-05  9.999795E-01
 2.050000E+02  9.788505E-09  2.092835E-11  3.940357E-11  7.841010E-08  3.190315E-06  7.229929E-08  1.806188E-05  9.999786E-01
 2.055000E+02  1.034392E-08  2.276940E-11  4.264451E-11  8.272163E-08  3.365860E-06  7.658972E-08  1.881931E-05  9.999776E-01
 2.060000E+02  1.092798E-08  2.476254E-11  4.613462E-11  8.724782E-08  3.550161E-06  8.111260E-08  1.960473E-05  9.999767E-01
 2.065000E+02  1.154200E-08  2.691950E-11  4.989168E-11  9.199821E-08  3.743607E-06  8.587928E-08  2.041900E-05  9.999756E-01
 2.070000E+02  1.218736E-08  2.925288E-11  5.393466E-11  9.698269E-08  3.946604E-06  9.090161E-08  2.126305E-05  9.999746E-01
 2.075000E+02  1.286550E-08  3.177612E-11  5.828375E-11  1.022115E-07  4.159572E-06  9.619193E-08  2.213780E-05  9.999735E-01
 2.080000E+02  1.357789E-08  3.450365E-11  6.296046E-11  1.076954E-07  4.382949E-06  1.017631E-07  2.304421E-05  9.999723E-01
 2.085000E+02  1.432610E-08  3.745091E-11  6.798771E-11  1.134454E-07  4.617188E-06  1.076286E-07  2.398326E-05  9.999712E-01
 2.090000E+02  1.511173E-08  4.063442E-11  7.338986E-11  1.194730E-07  4.862759E-06  1.138025E-07  2.495596E-05  9.999699E-01
 2.095000E+02  1.593645E-08  4.407185E-11  7.919284E-11  1.257902E-07  5.120153E-06  1.202992E-07  2.596334E-05  9.999687E-01
 2.100000E+02  1.680200E-08  4.778209E-11  8.542426E-11  1.324092E-07  5.389876E-06  1.271340E-07  2.700646E-05  9.999673E-01
 2.105000E+02  1.771020E-08  5.178533E-11  9.211343E-11  1.393430E-07  5.672453E-06  1.343227E-07  2.808639E-05  9.999659E-01
 2.110000E+02  1.866291E-08  5.610316E-11  9.929154E-11  1.466049E-07  5.968431E-06  1.418818E-07  2.920426E-05  9.999645E-01
 2.115000E+02  1.966208E-08  6.075862E-11  1.069917E-10  1.542085E-07  6.278375E-06  1.498284E-07  3.036119E-05  9.999630E-01
 2.120000E+02  2.070975E-08  6.577632E-11  1.152491E-10  1.621684E-07  6.602872E-06  1.581805E-07  3.155835E-05  9.999615E-01
 2.125000E+02  2.180800E-08  7.118255E-11  1.241012E-10  1.704991E-07  6.942529E-06  1.669565E-07  3.279694E-05  9.999599E-01
 2.130000E+02  2.295902E-08  7.700535E-11  1.335876E-10  1.792162E-07  7.297977E-06  1.761759E-07  3.407818E-05  9.999582E-01
 2.135000E+02  2.416507E-08  8.327461E-11  1.437504E-10  1.883354E-07  7.669869E-06  1.858588E-07  3.540333E-05  9.999565E-01
 2.140000E+02  2.542850E-08  9.002225E-11  1.546342E-10  1.978733E-07  8.058881E-06  1.960260E-07  3.677365E-05  9.999547E-01
 2.145000E+02  2.675174E-08  9.728226E-11  1.662866E-10  2.078470E-07  8.465712E-06  2.066994E-07  3.819047E-05  9.999529E-01
 2.150000E+02  2.813731E-08  1.050909E-10  1.787576E-10  2.182740E-07  8.891089E-06  2.179015E-07  3.965513E-05  9.999510E-01
 2.155000E+02  2.958784E-08  1.134867E-10  1.921006E-10  2.291726E-07  9.335762E-06  2.296559E-07  4.116901E-05  9.999490E-01
 2.160000E+02  3.110602E-08  1.225109E-10  2.063720E-10  2.405618E-07  9.800508E-06  2.419869E-07  4.273350E-05  9.999470E-01
 2.165000E+02  3.269468E-08  1.322072E-10  2.216315E-10  2.524611E-07  1.028613E-05  2.549200E-07  4.435006E-05  9.999448E-01
 2.170000E+02  3.435671E-08  1.426223E-10  2.379426E-10  2.648907E-07  1.079347E-05  2.684814E-07  4.602014E-05  9.999426E-01
 2.175000E+02  3.609515E-08  1.538056E-10  2.553721E-10  2.778716E-07  1.132337E-05  2.826986E-07  4.774527E-05  9.999403E-01
 2.180000E+02  3.791312E-08  1.658100E-10  2.739910E-10  2.914255E-07  1.187674E-05  2.976000E-07  4.952697E-05  9.999380E-01
 2.185000E+02  3.981384E-08  1.786915E-10  2.938745E-10  3.055746E-07  1.245448E-05  3.132151E-07  5.136683E-05  9.999355E-01
 2.190000E+02  4.180068E-08  1.925098E-10  3.151019E-10  3.203421E-07  1.305757E-05  3.295744E-07  5.326645E-05  9.999330E-01
 2.195000E+02  4.387709E-08  2.073282E-10  3.377572E-10  3.357520E-07  1.368697E-05  3.467098E-07  5.522748E-05  9.999304E-01
 2.200000E+02  4.604667E-08  2.232140E-10  3.619291E-10  3.518289E-07  1.434371E-05  3.646541E-07  5.725161E-05  9.999276E-01
 2.205000E+02  4.831312E-08  2.402388E-10  3.877115E-10  3.685983E-07  1.502883E-05  3.834417E-07  5.934055E-05  9.999248E-01
 2.210000E+02  5.068030E-08  2.584784E-10  4.152036E-10  3.860866E-07  1.574343E-05  4.031079E-07  6.149606E-05  9.999219E-01
 2.215000E+02  5.315217E-08  2.780135E-10  4.445101E-10  4.043210E-07  1.648863E-05  4.236894E-07  6.371994E-05  9.999189E-01
 2.220000E+02  5.573284E-08  2.989295E-10  4.757415E-10  4.233296E-07  1.726558E-05  4.452245E-07  6.601403E-05  9.999158E-01
 2.225000E+02  5.842657E-08  3.213172E-10  5.090146E-10  4.431414E-07  1.807548E-05  4.677525E-07  6.838020E-05  9.999126E-01
 2.230000E+02  6.123774E-08  3.452728E-10  5.444528E-10  4.637864E-07  1.891956E-05  4.913144E-07  7.082036E-05  9.999092E-01
 2.235000E+02  6.417089E-08  3.708983E-10  5.821860E-10  4.852956E-07  1.979912E-05  5.159526E-07  7.333647E-05  9.999058E-01
 2.240000E+02  6.723072E-08  3.983017E-10  6.223513E-10  5.077006E-07  2.071545E-05  5.417110E-07  7.593052E-05  9.999022E-01
 2.245000E+02  7.042208E-08  4.275978E-10  6.650936E-10  5.310346E-07  2.166991E-05  5.686350E-07  7.860456E-05  9.998986E-01
 2.250000E+02  7.374996E-08  4.589078E-10  7.105653E-10  5.553313E-07  2.266392E-05  5.967719E-07  8.136067E-05  9.998947E-01
 2.255000E+02  7.721955E-08  4.923603E-10  7.589273E-10  5.806259E-07  2.369891E-05  6.261703E-07  8.420098E-05  9.998908E-01
 2.260000E+02  8.083619E-08  5.280913E-10  8.103489E-10  6.069544E-07  2.477638E-05  6.568807E-07  8.712764E-05  9.998867E-01
 2.265000E+02  8.460539E-08  5.662450E-10  8.650087E-10  6.343539E-07  2.589787E-05  6.889553E-07  9.014288E-05  9.998825E-01
 2.270000E+02  8.853284E-08  6.069737E-10  9.230947E-10  6.628629E-07  2.706495E-05  7.224482E-07  9.324896E-05  9.998782E-01
