#         T/K          A/kJ          G/kJ
 2.000000E+02  2.146176E-01  2.158130E-01
 2.005000E+02  1.928251E-01  1.940205E-01
 2.010000E+02  1.709997E-01  1.721951E-01
 2.015000E+02  1.491414E-01  1.503369E-01
 2.020000E+02  1.272503E-01  1.284458E-01
 2.025000E+02  1.053264E-01  1.065220E-01
 2.030000E+02  8.336975E-02  8.456535E-02
 2.035000E+02  6.138035E-02  6.257600E-02
 2.040000E+02  3.935826E-02  4.055394E-02
 2.045000E+02  1.730350E-02  1.849921E-02
 2.050000E+02 -4.783900E-03 -3.588143E-03
 2.055000E+02 -2.690390E-02 -2.570810E-02
 2.060000E+02 -4.905646E-02 -4.786063E-02
 2.065000E+02 -7.124157E-02 -7.004570E-02
 2.070000E+02 -9.345918E-02 -9.226327E-02
 2.075000E+02 -1.157093E-01 -1.145133E-01
 2.080000E+02 -1.379918E-01 -1.367958E-01
 2.085000E+02 -1.603067E-01 -1.591107E-01
 2.090000E+02 -1.826540E-01 -1.814580E-01
 2.095000E+02 -2.050337E-01 -2.038376E-01
 2.100000E+02 -2.274457E-01 -2.262495E-01
 2.105000E+02 -2.498899E-01 -2.486938E-01
 2.110000E+02 -2.723665E-01 -2.711702E-01
 2.115000E+02 -2.948752E-01 -2.936789E-01
 2.120000E+02 -3.174161E-01 -3.162198E-01
 2.125000E+02 -3.399892E-01 -3.387929E-01
 2.130000E+02 -3.625944E-01 -3.613981E-01
 2.135000E+02 -3.852317E-01 -3.840353E-01
 2.140000E+02 -4.079011E-01 -4.067047E-01
 2.145000E+02 -4.306025E-01 -4.294061E-01
 2.150000E+02 -4.533360E-01 -4.521394E-01
 2.155000E+02 -4.761013E-01 -4.749048E-01
 2.160000E+02 -4.988987E-01 -4.977021E-01
 2.165000E+02 -5.217280E-01 -5.205313E-01
 2.170000E+02 -5.445891E-01 -5.433924E-01
 2.175000E+02 -5.674821E-01 -5.662854E-01
 2.180000E+02 -5.904069E-01 -5.892102E-01
 2.185000E+02 -6.133635E-01 -6.121668E-01
 2.190000E+02 -6.363519E-01 -6.351551E-01
 2.195000E+02 -6.593720E-01 -6.581752E-01
 2.200000E+02 -6.824239E-01 -6.812270E-01
 2.205000E+02 -7.055074E-01 -7.043104E-01
 2.210000E+02 -7.286225E-01 -7.274256E-01
 2.215000E+02 -7.517693E-01 -7.505723E-01
 2.220000E+02 -7.749476E-01 -7.737506E-01
 2.225000E+02 -7.981576E-01 -7.969605E-01
 2.230000E+02 -8.213990E-01 -8.202019E-01
 2.235000E+02 -8.446719E-01 -8.434748E-01
 2.240000E+02 -8.679764E-01 -8.667792E-01
 2.245000E+02 -8.913122E-01 -8.901150E-01
 2.250000E+02 -9.146795E-01 -9.134822E-01
 2.255000E+02 -9.380782E-01 -9.368809E-01
 2.260000E+02 -9.615082E-01 -9.603109E-01
 2.265000E+02 -9.849696E-01 -9.837722E-01
 2.270000E+02 -1.008462E+00 -1.007265E+00
 2.275000E+02 -1.031986E+00 -1.030789E+00
 2.280000E+02 -1.055541E+00 -1.054344E+00
 2.285000E+02 -1.079128E+00 -1.077930E+00
