#         T/K          U/kJ          H/kJ      S/J*K^-1
 2.000000E+02  8.925026E+00  8.926221E+00  4.355204E+01
 2.005000E+02  8.938207E+00  8.939403E+00  4.361787E+01
 2.010000E+02  8.951408E+00  8.952603E+00  4.368362E+01
 2.015000E+02  8.964628E+00  8.965824E+00  4.374932E+01
 2.020000E+02  8.977868E+00  8.979064E+00  4.381494E+01
 2.025000E+02  8.991128E+00  8.992324E+00  4.388050E+01
 2.030000E+02  9.004407E+00  9.005603E+00  4.394600E+01
 2.035000E+02  9.017706E+00  9.018901E+00  4.401143E+01
 2.040000E+02  9.031024E+00  9.032220E+00  4.407679E+01
 2.045000E+02  9.044361E+00  9.045557E+00  4.414209E+01
 2.050000E+02  9.057718E+00  9.058914E+00  4.420733E+01
 2.055000E+02  9.071095E+00  9.072291E+00  4.427250E+01
 2.060000E+02  9.084491E+00  9.085686E+00  4.433761E+01
 2.065000E+02  9.097906E+00  9.099102E+00  4.440265E+01
 2.070000E+02  9.111340E+00  9.112536E+00  4.446763E+01
 2.075000E+02  9.124794E+00  9.125990E+00  4.453254E+01
 2.080000E+02  9.138267E+00  9.139463E+00  4.459740E+01
 2.085000E+02  9.151759E+00  9.152955E+00  4.466219E+01
 2.090000E+02  9.165270E+00  9.166466E+00  4.472691E+01
 2.095000E+02  9.178801E+00  9.179997E+00  4.479157E+01
 2.100000E+02  9.192351E+00  9.193547E+00  4.485617E+01
 2.105000E+02  9.205920E+00  9.207116E+00  4.492071E+01
 2.110000E+02  9.219508E+00  9.220704E+00  4.498519E+01
 2.115000E+02  9.233115E+00  9.234311E+00  4.504960E+01
 2.120000E+02  9.246741E+00  9.247937E+00  4.511395E+01
 2.125000E+02  9.260386E+00  9.261582E+00  4.517824E+01
 2.130000E+02  9.274050E+00  9.275247E+00  4.524246E+01
 2.135000E+02  9.287733E+00  9.288930E+00  4.530663E+01
 2.140000E+02  9.301436E+00  9.302632E+00  4.537073E+01
 2.145000E+02  9.315157E+00  9.316353E+00  4.543477E+01
 2.150000E+02  9.328897E+00  9.330093E+00  4.549876E+01
 2.155000E+02  9.342656E+00  9.343852E+00  4.556268E+01
 2.160000E+02  9.356433E+00  9.357630E+00  4.562654E+01
 2.165000E+02  9.370230E+00  9.371427E+00  4.569034E+01
 2.170000E+02  9.384046E+00  9.385242E+00  4.575408E+01
 2.175000E+02  9.397880E+00  9.399077E+00  4.581776E+01
 2.180000E+02  9.411733E+00  9.412930E+00  4.588138E+01
 2.185000E+02  9.425605E+00  9.426802E+00  4.594494E+01
 2.190000E+02  9.439496E+00  9.440693E+00  4.600844E+01
 2.195000E+02  9.453405E+00  9.454602E+00  4.607188E+01
 2.200000E+02  9.467334E+00  9.468531E+00  4.613526E+01
