#         T/K     Cv/J*K^-1     Cp/J*K^-1
 2.000000E+02  2.527135E+01  2.527143E+01
 2.005000E+02  2.531038E+01  2.531046E+01
 2.010000E+02  2.534934E+01  2.534941E+01
 2.015000E+02  2.538822E+01  2.538830E+01
 2.020000E+02  2.542704E+01  2.542712E+01
 2.025000E+02  2.546579E+01  2.546586E+01
 2.030000E+02  2.550447E+01  2.550454E+01
 2.035000E+02  2.554308E+01  2.554315E+01
 2.040000E+02  2.558161E+01  2.558169E+01
 2.045000E+02  2.562008E+01  2.562016E+01
 2.050000E+02  2.565849E+01  2.565856E+01
 2.055000E+02  2.569682E+01  2.569689E+01
 2.060000E+02  2.573508E+01  2.573516E+01
 2.065000E+02  2.577328E+01  2.577335E+01
 2.070000E+02  2.581141E+01  2.581148E+01
 2.075000E+02  2.584947E+01  2.584954E+01
 2.080000E+02  2.588746E+01  2.588753E+01
 2.085000E+02  2.592538E+01  2.592546E+01
 2.090000E+02  2.596324E+01  2.596331E+01
 2.095000E+02  2.600103E+01  2.600110E+01
 2.100000E+02  2.603875E+01  2.603882E+01
 2.105000E+02  2.607640E+01  2.607648E+01
 2.110000E+02  2.611399E+01  2.611407E+01
 2.115000E+02  2.615151E+01  2.615159E+01
 2.120000E+02  2.618896E+01  2.618904E+01
 2.125000E+02  2.622635E+01  2.622643E+01
 2.130000E+02  2.626367E+01  2.626375E+01
 2.135000E+02  2.630093E+01  2.630100E+01
 2.140000E+02  2.633812E+01  2.633819E+01
 2.145000E+02  2.637524E+01  2.637531E+01
 2.150000E+02  2.641229E+01  2.641237E+01
 2.155000E+02  2.644929E+01  2.644936E+01
 2.160000E+02  2.648621E+01  2.648629E+01
 2.165000E+02  2.652307E+01  2.652315E+01
 2.170000E+02  2.655987E+01  2.655994E+01
 2.175000E+02  2.659660E+01  2.659667E+01
 2.180000E+02  2.663326E+01  2.663334E+01
 2.185000E+02  2.666986E+01  2.666994E+01
 2.190000E+02  2.670640E+01  2.670647E+01
 2.195000E+02  2.674287E+01  2.674294E+01
 2.200000E+02  2.677928E+01  2.677935E+01
 2.205000E+02  2.681562E+01  2.681569E+01
 2.210000E+02  2.685190E+01  2.685197E+01
