#         T/K        V/dm^3  V(excl)/dm^3    alpha/K^-1        status
 2.000000E+02  1.179749E-02  1.165284E-02  6.285040E-05                                 111
 2.005000E+02  1.179786E-02  1.165284E-02  6.285249E-05                                 112
 2.010000E+02  1.179823E-02  1.165284E-02  6.285865E-05                                 111
 2.015000E+02  1.179860E-02  1.165284E-02  6.286483E-05                                 112
 2.020000E+02  1.179897E-02  1.165284E-02  6.287101E-05                                 112
 2.025000E+02  1.179934E-02  1.165284E-02  6.287720E-05                                 111
 2.030000E+02  1.179971E-02  1.165284E-02  6.288341E-05                                 112
 2.035000E+02  1.180008E-02  1.165284E-02  6.288962E-05                                 111
 2.040000E+02  1.180045E-02  1.165284E-02  6.289585E-05                                 112
 2.045000E+02  1.180082E-02  1.165284E-02  6.290208E-05                                 111
 2.050000E+02  1.180119E-02  1.165284E-02  6.290833E-05                                 111
 2.055000E+02  1.180157E-02  1.165284E-02  6.291460E-05                                 112
 2.060000E+02  1.180194E-02  1.165284E-02  6.292087E-05                                 111
 2.065000E+02  1.180231E-02  1.165284E-02  6.292716E-05                                 112
 2.070000E+02  1.180268E-02  1.165284E-02  6.293346E-05                                 111
 2.075000E+02  1.180305E-02  1.165284E-02  6.293978E-05                                 112
 2.080000E+02  1.180342E-02  1.165284E-02  6.294611E-05                                 112
 2.085000E+02  1.180379E-02  1.165284E-02  6.295246E-05                                 111
 2.090000E+02  1.180417E-02  1.165284E-02  6.295882E-05                                 112
 2.095000E+02  1.180454E-02  1.165284E-02  6.296520E-05                                 111
 2.100000E+02  1.180491E-02  1.165284E-02  6.297159E-05                                 111
 2.105000E+02  1.180528E-02  1.165284E-02  6.297801E-05                                 111
 2.110000E+02  1.180565E-02  1.165284E-02  6.298444E-05                                 112
 2.115000E+02  1.180602E-02  1.165284E-02  6.299089E-05                                 111
 2.120000E+02  1.180640E-02  1.165284E-02  6.299736E-05                                 112
 2.125000E+02  1.180677E-02  1.165284E-02  6.300385E-05                                 112
 2.130000E+02  1.180714E-02  1.165284E-02  6.301036E-05                                 111
 2.135000E+02  1.180751E-02  1.165284E-02  6.301689E-05                                 112
 2.140000E+02  1.180788E-02  1.165284E-02  6.302344E-05                                 111
 2.145000E+02  1.180826E-02  1.165284E-02  6.303002E-05                                 111
 2.150000E+02  1.180863E-02  1.165284E-02  6.303661E-05                                 112
 2.155000E+02  1.180900E-02  1.165284E-02  6.304324E-05                                 111
 2.160000E+02  1.180937E-02  1.165284E-02  6.304989E-05                                 112
 2.165000E+02  1.180975E-02  1.165284E-02  6.305656E-05                                 111
 2.170000E+02  1.181012E-02  1.165284E-02  6.306326E-05                                 111
 2.175000E+02  1.181049E-02  1.165284E-02  6.306999E-05                                 112
 2.180000E+02  1.181086E-02  1.165284E-02  6.307675E-05                                 111
 2.185000E+02  1.181124E-02  1.165284E-02  6.308353E-05                                 112
 2.190000E+02  1.181161E-02  1.165284E-02  6.309035E-05                                 112
 2.195000E+02  1.181198E-02  1.165284E-02  6.309720E-05                                 111
 2.200000E+02  1.181235E-02  1.165284E-02  6.310408E-05                                 112
 2.205000E+02  1.181273E-02  1.165284E-02  6.311099E-05                                 111
 2.210000E+02  1.181310E-02  1.165284E-02  6.311794E-05                                 111
 2.215000E+02  1.181347E-02  1.165284E-02  6.312492E-05                                 112
 2.220000E+02  1.181384E-02  1.165284E-02  6.313194E-05                                 112
 2.225000E+02  1.181422E-02  1.165284E-02  6.313900E-05                                 111
 2.230000E+02  1.181459E-02  1.165284E-02  6.314609E-05                                 112
 2.235000E+02  1.181496E-02  1.165284E-02  6.315323E-05                                 111
 2.240000E+02  1.181534E-02  1.165284E-02  6.316041E-05                                 111
 2.245000E+02  1.181571E-02  1.165284E-02  6.316763E-05                                 112
 2.250000E+02  1.181608E-02  1.165284E-02  6.317489E-05                                 111
 2.255000E+02  1.181646E-02  1.165284E-02  6.318220E-05                                 111
 2.260000E+02  1.181683E-02  1.165284E-02  6.318956E-05                                 112
 2.265000E+02  1.181720E-02  1.165284E-02  6.319696E-05                                 111
 2.270000E+02  1.181758E-02  1.165284E-02  6.320442E-05                                 111
 2.275000E+02  1.181795E-02  1.165284E-02  6.321192E-05                                 112
 2.280000E+02  1.181832E-02  1.165284E-02  6.321948E-05                                 111
 2.285000E+02  1.181870E-02  1.165284E-02  6.322709E-05                                 111
 2.290000E+02  1.181907E-02  1.165284E-02  6.323476E-05                                 112
 2.295000E+02  1.181944E-02  1.165284E-02  6.324249E-05                                 111
 2.300000E+02  1.181982E-02  1.165284E-02  6.325027E-05                                 111
 2.305000E+02  1.182019E-02  1.165284E-02  6.325812E-05                                 112
 2.310000E+02  1.182057E-02  1.165284E-02  6.326603E-05                                 111
 2.315000E+02  1.182094E-02  1.165284E-02  6.327400E-05                                 111
 2.320000E+02  1.182131E-02  1.165284E-02  6.328204E-05                                 112
 2.325000E+02  1.182169E-02  1.165284E-02  6.329015E-05                                 111
 2.330000E+02  1.182206E-02  1.165284E-02  6.329833E-05                                 111
 2.335000E+02  1.182244E-02  1.165284E-02  6.330658E-05                                 112
 2.340000E+02  1.182281E-02  1.165284E-02  6.331491E-05                                 111
 2.345000E+02  1.182318E-02  1.165284E-02  6.332331E-05                                 111
 2.350000E+02  1.182356E-02  1.165284E-02  6.333180E-05                                 112
 2.355000E+02  1.182393E-02  1.165284E-02  6.334036E-05                                 111
 2.360000E+02  1.182431E-02  1.165284E-02  6.334901E-05                                 111
 2.365000E+02  1.182468E-02  1.165284E-02  6.335774E-05                                 112
 2.370000E+02  1.182506E-02  1.165284E-02  6.336657E-05                                 112
 2.375000E+02  1.182543E-02  1.165284E-02  6.337548E-05                                 111
 2.380000E+02  1.182581E-02  1.165284E-02  6.338449E-05                                 112
 2.385000E+02  1.182618E-02  1.165284E-02  6.339359E-05                                 112
 2.390000E+02  1.182656E-02  1.165284E-02  6.340279E-05                                 111
 2.395000E+02  1.182693E-02  1.165284E-02  6.341209E-05                                 111
 2.400000E+02  1.182731E-02  1.165284E-02  6.342150E-05                                 112
 2.405000E+02  1.182768E-02  1.165284E-02  6.343102E-05                                 111
 2.410000E+02  1.182806E-02  1.165284E-02  6.344064E-05                                 111
 2.415000E+02  1.182843E-02  1.165284E-02  6.345038E-05                                 112
 2.420000E+02  1.182881E-02  1.165284E-02  6.346023E-05                                 111
 2.425000E+02  1.182918E-02  1.165284E-02  6.347020E-05                                 111
 2.430000E+02  1.182956E-02  1.165284E-02  6.348030E-05                                 112
 2.435000E+02  1.182993E-02  1.165284E-02  6.349052E-05                                 112
 2.440000E+02  1.183031E-02  1.165284E-02  6.350087E-05                                 111
 2.445000E+02  1.183068E-02  1.165284E-02  6.351136E-05                                 111
 2.450000E+02  1.183106E-02  1.165284E-02  6.352198E-05                                 112
 2.455000E+02  1.183144E-02  1.165284E-02  6.353273E-05                                 111
 2.460000E+02  1.183181E-02  1.165284E-02  6.354364E-05                                 111
 2.465000E+02  1.183219E-02  1.165284E-02  6.355468E-05                                 112
 2.470000E+02  1.183256E-02  1.165284E-02  6.356588E-05                                 112
 2.475000E+02  1.183294E-02  1.165284E-02  6.357724E-05                                 111
 2.480000E+02  1.183332E-02  1.165284E-02  6.358875E-05                                 111
 2.485000E+02  1.183369E-02  1.165284E-02  6.360043E-05                                 112
 2.490000E+02  1.183407E-02  1.165284E-02  6.361227E-05                                 111
 2.495000E+02  1.183445E-02  1.165284E-02  6.362428E-05                                 111
 2.500000E+02  1.183482E-02  1.165284E-02  6.363647E-05                                 112
 2.505000E+02  1.183520E-02  1.165284E-02  6.364884E-05                                 112
 2.510000E+02  1.183557E-02  1.165284E-02  6.366140E-05                                 111
 2.515000E+02  1.183595E-02  1.165284E-02  6.367414E-05                                 112
 2.520000E+02  1.183633E-02  1.165284E-02  6.368708E-05                                 112
 2.525000E+02  1.183671E-02  1.165284E-02  6.370022E-05                                 111
 2.530000E+02  1.183708E-02  1.165284E-02  6.371355E-05                                 111
 2.535000E+02  1.183746E-02  1.165284E-02  6.372710E-05                                 112
 2.540000E+02  1.183784E-02  1.165284E-02  6.374086E-05                                 112
 2.545000E+02  1.183821E-02  1.165284E-02  6.375485E-05                                 111
 2.550000E+02  1.183859E-02  1.165284E-02  6.376905E-05                                 111
 2.555000E+02  1.183897E-02  1.165284E-02  6.378349E-05                                 112
 2.560000E+02  1.183935E-02  1.165284E-02  6.379815E-05                                 112
 2.565000E+02  1.183972E-02  1.165284E-02  6.381307E-05                                 111
 2.570000E+02  1.184010E-02  1.165284E-02  6.382822E-05                                 111
 2.575000E+02  1.184048E-02  1.165284E-02  6.384363E-05                                 112
 2.580000E+02  1.184086E-02  1.165284E-02  6.385930E-05                                 112
 2.585000E+02  1.184124E-02  1.165284E-02  6.387523E-05                                 111
 2.590000E+02  1.184161E-02  1.165284E-02  6.389144E-05                                 111
 2.595000E+02  1.184199E-02  1.165284E-02  6.390792E-05                                 112
 2.600000E+02  1.184237E-02  1.165284E-02  6.392468E-05                                 111
 2.605000E+02  1.184275E-02  1.165284E-02  6.394174E-05                                 111
 2.610000E+02  1.184313E-02  1.165284E-02  6.395909E-05                                 112
 2.615000E+02  1.184351E-02  1.165284E-02  6.397674E-05                                 112
 2.620000E+02  1.184389E-02  1.165284E-02  6.399471E-05                                 111
 2.625000E+02  1.184427E-02  1.165284E-02  6.401299E-05                                 111
 2.630000E+02  1.184464E-02  1.165284E-02  6.403160E-05                                 112
 2.635000E+02  1.184502E-02  1.165284E-02  6.405054E-05                                 112
 2.640000E+02  1.184540E-02  1.165284E-02  6.406982E-05                                 112
 2.645000E+02  1.184578E-02  1.165284E-02  6.408945E-05                                 112
 2.650000E+02  1.184616E-02  1.165284E-02  6.410943E-05                                 112
 2.655000E+02  1.184654E-02  1.165284E-02  6.412977E-05                                 112
 2.660000E+02  1.184692E-02  1.165284E-02  6.415049E-05                                 112
 2.665000E+02  1.184730E-02  1.165284E-02  6.417159E-05                                 112
 2.670000E+02  1.184768E-02  1.165284E-02  6.419307E-05                                 112
 2.675000E+02  1.184806E-02  1.165284E-02  6.421495E-05                                 112
 2.680000E+02  1.184844E-02  1.165284E-02  6.423724E-05                                 112
 2.685000E+02  1.184882E-02  1.165284E-02  6.425993E-05                                 112
 2.690000E+02  1.184920E-02  1.165284E-02  6.428305E-05                                 112
 2.695000E+02  1.184959E-02  1.165284E-02  6.430660E-05                                 112
 2.700000E+02  1.184997E-02  1.165284E-02  6.433060E-05                                 112
 2.705000E+02  1.185035E-02  1.165284E-02  6.435504E-05                                 112
 2.710000E+02  1.185073E-02  1.165284E-02  6.437994E-05                                 112
 2.715000E+02  1.185111E-02  1.165284E-02  6.440531E-05                                 112
 2.720000E+02  1.185149E-02  1.165284E-02  6.443116E-05                                 112
 2.725000E+02  1.185187E-02  1.165284E-02  6.445750E-05                                 112
 2.730000E+02  1.185226E-02  1.165284E-02  6.448434E-05                                 112
 2.735000E+02  1.185264E-02  1.165284E-02  6.451169E-05                                 112
 2.740000E+02  1.185302E-02  1.165284E-02  6.453956E-05                                 112
 2.745000E+02  1.185340E-02  1.165284E-02  6.456796E-05                                 112
 2.750000E+02  1.185379E-02  1.165284E-02  6.459690E-05                                 112
 2.755000E+02  1.185417E-02  1.165284E-02  6.462640E-05                                 112
 2.760000E+02  1.185455E-02  1.165284E-02  6.465646E-05                                 112
 2.765000E+02  1.185494E-02  1.165284E-02  6.468709E-05                                 112
 2.770000E+02  1.185532E-02  1.165284E-02  6.471832E-05                                 112
 2.775000E+02  1.185570E-02  1.165284E-02  6.475014E-05                                 112
 2.780000E+02  1.185609E-02  1.165284E-02  6.478257E-05                                 112
 2.785000E+02  1.185647E-02  1.165284E-02  6.481562E-05                                 112
 2.790000E+02  1.185686E-02  1.165284E-02  6.484931E-05                                 112
 2.795000E+02  1.185724E-02  1.165284E-02  6.488365E-05                                 112
 2.800000E+02  1.185762E-02  1.165284E-02  6.491865E-05                                 112
 2.805000E+02  1.185801E-02  1.165284E-02  6.495432E-05                                 112
 2.810000E+02  1.185840E-02  1.165284E-02  6.499068E-05                                 112
 2.815000E+02  1.185878E-02  1.165284E-02  6.502774E-05                                 112
 2.820000E+02  1.185917E-02  1.165284E-02  6.506552E-05                                 112
